movieId,title,genres,year,title_cast,director,runtime
1,Toy Story ,Adventure|Animation|Children|Comedy|Fantasy,1995,Tom Hanks|Tim Allen|Don Rickles|Jim Varney|Wallace Shawn|John Ratzenberger|Annie Potts|John Morris|Erik von Detten|Laurie Metcalf|R. Lee Ermey|Sarah Freeman|Penn Jillette|Jack Angel|Spencer Aste,John Lasseter,81.0
2,Jumanji ,Adventure|Children|Fantasy,1995,Robin Williams|Jonathan Hyde|Kirsten Dunst|Bradley Pierce|Bonnie Hunt|Bebe Neuwirth|David Alan Grier|Patricia Clarkson|Adam Hann-Byrd|Laura Bell Bundy|James Handy|Gillian Barber|Brandon Obray|Cyrus Thiedeke|Gary Joseph Thorup,Jonathan Hensleigh,104.0
3,Grumpier Old Men ,Comedy|Romance,1995,Walter Matthau|Jack Lemmon|Sophia Loren|Ann-Margret|Burgess Meredith|Daryl Hannah|Kevin Pollak|Katie Sagona|Ann Morgan Guilbert|James Andelin|Marcus Klemp|Max Wright|Cheryl Hawker|Wayne A. Evenson|Allison Levine,Mark Steven Johnson,101.0
4,Waiting to Exhale ,Comedy|Drama|Romance,1995,Whitney Houston|Angela Bassett|Loretta Devine|Lela Rochon|Gregory Hines|Dennis Haysbert|Mykelti Williamson|Michael Beach|Leon|Wendell Pierce|Donald Faison|Jeffrey D. Sams|Jazz Raycole|Brandon Hammond|Kenya Moore,Terry McMillan,124.0
5,Father of the Bride Part II ,Comedy,1995,Steve Martin|Diane Keaton|Martin Short|Kimberly Williams-Paisley|George Newbern|Kieran Culkin|BD Wong|Peter Michael Goetz|Kate McGregor-Stewart|Jane Adams|Eugene Levy|Rebecca Chambers|April Ortiz|Dulcy Rogers|Kathy Anthony,Albert Hackett,106.0
7,Sabrina ,Comedy|Romance,1995,Harrison Ford|Julia Ormond|Greg Kinnear|Nancy Marchand|John Wood|Richard Crenna|Angie Dickinson|Lauren Holly|Dana Ivey|Miriam Colon|Elizabeth Franz|Fanny Ardant|Valérie Lemercier|Patrick Bruel|Becky Ann Baker,Samuel A. Taylor,127.0
8,Tom and Huck ,Adventure|Children,1995,Jonathan Taylor Thomas|Brad Renfro|Eric Schweig|Charles Rocket|Amy Wright|Michael McShane|Marian Seldes|Rachael Leigh Cook|Lanny Flaherty|Courtland Mead|Peter Mackenzie|Heath Lamberts|William Newman|Joey Stinson|Blake Heron,Mark Twain,97.0
9,Sudden Death ,Action,1995,Jean-Claude Van Damme|Powers Boothe|Raymond J. Barry|Whittni Wright|Ross Malinger|Dorian Harewood|Kate McNeil|Michael Gaston|Audra Lindley|Brian Delate|Steve Aronson|Michael R. Aubele|Karen Elise Baldwin|Jennifer D. Bowser|Pat Brisson,Karen Elise Baldwin,111.0
10,GoldenEye ,Action|Adventure|Thriller,1995,Pierce Brosnan|Sean Bean|Izabella Scorupco|Famke Janssen|Joe Don Baker|Judi Dench|Robbie Coltrane|Tchéky Karyo|Gottfried John|Alan Cumming|Desmond Llewelyn|Samantha Bond|Michael Kitchen|Serena Gordon|Simon Kunz,Ian Fleming,130.0
11,"American President, The ",Comedy|Drama|Romance,1995,Michael Douglas|Annette Bening|Martin Sheen|Michael J. Fox|Anna Deavere Smith|Samantha Mathis|Shawna Waldron|David Paymer|Anne Haney|Richard Dreyfuss|Nina Siemaszko|Wendie Malick|Beau Billingslea|Gail Strickland|Joshua Malina,Aaron Sorkin,114.0
