userId,movieId
2,"[4886, 364]"
3,"[4306, 6377, 50872, 76093, 6283, 4366, 115617, 63859, 49274, 61160, 3751, 27660, 87876]"
4,"[97913, 8961, 108932, 5444, 68954, 50872, 5618, 38038, 4886, 81564, 71057, 3751]"
5,[1]
7,"[588, 595]"
9,[588]
10,[1]
11,[54272]
12,"[4306, 6773, 8360, 6377, 5618, 60069]"
13,"[8961, 1, 595, 66335, 5444, 27904, 79091, 81847, 4886, 72226, 84944, 60069, 50872]"
14,[60069]
15,[2700]
16,[5618]
17,"[68954, 115617, 62999, 79091]"
18,"[364, 6377]"
19,"[5618, 65261, 741, 57504, 61236, 26903, 55167, 118466, 104283, 27156, 6283, 70533, 27728, 85179, 50872, 98604, 5072, 3159, 27800, 93748, 116899, 44849]"
20,"[4306, 8961]"
21,"[26776, 5618, 104283]"
28,[741]
32,[588]
34,[78499]
36,[588]
37,[68954]
38,"[3000, 50872, 37729]"
39,[5618]
43,"[8961, 595, 364, 1, 5618, 38038, 3000, 741, 3213]"
44,"[79091, 69644]"
49,"[588, 364]"
53,[4886]
57,"[2700, 8961, 4886, 364, 8360, 8974, 4306, 6377, 8917, 45517, 27904, 54272, 56152, 59784, 68954]"
59,"[5618, 3751, 588, 5146]"
61,"[3751, 1907, 551]"
64,"[8961, 60069]"
66,"[588, 4886, 364]"
68,[60069]
69,"[6377, 364]"
70,"[4306, 6377]"
71,"[68954, 4886, 76093]"
72,[2761]
75,"[595, 78499, 364]"
76,"[31658, 27660, 54272, 551, 60069, 8917, 6773, 6377]"
77,[551]
78,"[5618, 6377, 364, 4306, 4016, 3000]"
82,"[3483, 3000]"
84,"[5618, 37729, 60069, 81018]"
86,"[3114, 1, 2294]"
93,"[68954, 4306, 31658, 60069, 4886, 96281, 4016, 108932, 2355, 97172, 114552, 1]"
94,"[588, 595]"
95,"[114554, 31658, 64695]"
96,"[78499, 8961, 4306, 79091, 5618, 60069]"
97,[48]
98,"[93272, 71264, 68954, 588, 595, 106696]"
101,"[4886, 6377, 364]"
102,[2355]
104,[5618]
107,[5618]
108,[59784]
109,"[364, 5618, 60069, 3114]"
110,[1]
111,"[4306, 4886]"
113,"[72226, 99764]"
114,"[105468, 60069, 62999]"
117,"[5618, 1907]"
120,"[2687, 588, 3751]"
122,[595]
123,[3114]
125,"[588, 4306, 5218, 4886]"
127,[1]
133,[588]
139,[4306]
141,"[595, 661, 783, 631]"
142,"[4886, 72226, 31658, 8961, 54272]"
143,[661]
146,"[4306, 68954, 60069, 76093]"
148,"[60069, 78499]"
151,[33615]
152,[1]
154,"[4306, 71057, 87222]"
156,"[588, 595, 364, 1688]"
158,"[588, 595]"
159,"[8360, 8961, 3751, 56152]"
160,"[4886, 6377, 588, 3114]"
162,"[1, 661, 2355, 364, 3000]"
164,"[5444, 49274]"
165,[364]
166,[1]
167,"[1, 661, 588, 595]"
169,"[4306, 56152]"
171,"[4306, 4886, 3751, 5218, 3114, 2700, 2294]"
173,[588]
175,[364]
184,[4306]
186,"[1, 588, 4306, 8360, 3114, 8961]"
187,"[2142, 3114, 4886, 2700, 3751, 76093, 63859, 4446, 54272, 44022, 45431, 8907, 37830, 48982, 40339, 4719, 72294, 50872, 8917, 81847, 87222, 90647, 95167, 95543, 96281, 94833, 103755]"
188,"[1, 4306, 3751]"
189,[3114]
190,"[1688, 588]"
191,[68954]
192,[59784]
193,"[4306, 4886]"
195,"[68954, 50872, 115617]"
197,"[6377, 1, 8961, 4306]"
199,"[588, 364]"
200,[1]
201,[3751]
206,[588]
208,"[60069, 50872]"
211,"[48, 78499, 1, 595, 364]"
212,[4446]
215,[551]
216,"[1907, 2700, 6377]"
217,"[588, 4886, 6377, 1, 364, 551, 4306, 1907, 6857]"
218,[8961]
221,"[2355, 551]"
223,[2700]
224,"[4306, 364, 76093, 60069]"
226,"[4306, 2700, 551]"
227,"[588, 78499, 68954, 76093]"
228,"[239, 595, 1]"
229,[364]
230,"[1, 673]"
231,[364]
235,"[3000, 66097, 81564, 3751, 81847, 27156]"
236,"[1, 48]"
237,[2355]
239,[364]
242,"[588, 4306]"
243,"[60069, 3000, 31658]"
244,[595]
249,"[595, 364]"
253,[63859]
254,[661]
256,[1]
257,"[4306, 4886, 50872, 551]"
258,[364]
259,"[4306, 1, 3159]"
260,[1405]
261,[4886]
262,[588]
265,"[1, 595, 3114, 38038]"
266,[31658]
267,"[68954, 78499]"
269,[595]
270,[2355]
271,[8961]
275,"[60069, 115617, 76093]"
276,[3114]
279,[2700]
280,[588]
282,"[6283, 26776, 3000, 26903, 98604, 65261, 52885, 60069, 55167, 114552]"
284,"[37729, 52885, 61236, 84187, 27904, 27728]"
285,[4886]
287,"[588, 8961, 5618, 1907, 2355]"
289,[115617]
292,"[364, 1, 60069]"
294,[66097]
295,"[673, 313, 5618, 81564, 588]"
296,"[1, 106696, 364, 6377, 8961, 81847]"
297,"[1, 661]"
300,"[68954, 61160]"
301,"[3000, 5618]"
302,"[4886, 50872]"
304,"[1, 364]"
305,"[108932, 79091, 95167, 106696]"
306,[588]
307,"[3114, 4306]"
309,[783]
310,"[4306, 33615]"
311,[595]
315,[364]
316,[364]
317,"[4306, 4886, 8360, 8961, 53121]"
318,"[2700, 1, 49274]"
321,"[60069, 8961, 1, 50872, 5618, 27660, 588, 55442, 2761]"
323,"[551, 1, 8360]"
324,[69644]
326,[60069]
332,"[4306, 5618]"
333,[673]
335,[78637]
338,[588]
339,[4886]
343,"[6773, 5618, 8961, 4306, 8360]"
347,"[6377, 8961, 4886, 8360]"
348,"[2355, 4306, 3751]"
350,[1]
352,[588]
354,[6377]
355,"[4306, 588, 71057, 364]"
357,"[1907, 2761, 86298, 68954, 90647]"
358,"[4306, 1, 59784, 1907, 1566]"
359,"[2355, 1]"
360,"[673, 631]"
362,[8961]
364,[8961]
366,[588]
368,"[1, 3799, 108932, 2761, 71264]"
369,"[1, 3114]"
370,"[2700, 551]"
371,"[595, 364]"
373,[4306]
374,"[631, 551, 783]"
376,[5618]
378,[4306]
381,"[1, 4306, 8961]"
382,"[8360, 59784, 76093, 84944, 79091, 97913, 71264, 67408, 33615, 90647]"
