userId,movieId
2,"[4886, 364]"
3,"[30793, 41566, 4306, 6377, 50872, 76093, 4366, 63859, 49274, 3751, 87876]"
4,"[8961, 108932, 5444, 68954, 50872, 38038, 4886, 81564, 3751]"
5,[1]
7,"[588, 595]"
9,"[1367, 362, 588, 2, 158, 1015]"
10,[1]
12,"[4306, 8360, 6377, 4700, 60069]"
13,"[8961, 1, 595, 34, 5444, 79091, 81847, 4886, 72226, 84944, 60069, 50872]"
14,[60069]
17,"[68954, 62999, 79091]"
18,"[364, 6377]"
19,"[65261, 2, 50872, 3159]"
20,"[4306, 8961]"
30,[2124]
31,[34]
32,[588]
34,"[1021, 78499]"
36,"[60, 588, 314]"
37,[68954]
38,[50872]
43,"[8961, 595, 364, 1, 38038, 2, 3213]"
44,"[79091, 69644]"
45,[837]
49,"[588, 364]"
53,[4886]
57,"[8961, 4886, 364, 8360, 8974, 4306, 6377, 45517, 56152, 59784, 68954]"
59,"[3751, 588]"
61,"[3751, 410, 34, 1907, 551, 27]"
63,[3988]
64,"[8961, 60069]"
66,"[588, 4886, 364]"
67,[2]
68,[60069]
69,"[6377, 364]"
70,"[4306, 6377]"
71,"[68954, 4886, 76093]"
72,[2761]
75,"[595, 78499, 364, 1367, 1015, 2059]"
76,"[551, 30793, 60069, 6377]"
77,[551]
78,"[6377, 364, 4306, 4016]"
79,[158]
81,[2124]
82,[3483]
84,[60069]
85,"[34, 314]"
86,"[3114, 1, 2294]"
90,[1367]
91,[90866]
93,"[68954, 4306, 60069, 4886, 4016, 108932, 2355, 4700, 114552, 6593, 5419, 27706, 1, 50601]"
94,"[588, 595, 410]"
96,"[78499, 8961, 4306, 79091, 60069]"
97,"[48, 158, 34]"
98,"[46062, 71264, 68954, 90866, 588, 595, 837, 121190]"
101,"[4886, 6377, 364]"
102,[2355]
103,[410]
106,[314]
108,[59784]
109,"[364, 60069, 3114]"
110,[1]
111,"[4306, 4886]"
113,[72226]
114,"[105468, 41566, 60069, 62999]"
117,[1907]
120,"[2687, 588, 3751]"
122,[595]
123,[3114]
125,"[107, 588, 5103, 4306, 5218, 4886]"
127,[1]
131,[6753]
133,[588]
139,[4306]
141,"[595, 455, 661, 783, 631]"
142,"[4886, 72226, 8961]"
143,[661]
144,[314]
146,"[4306, 68954, 60069, 76093]"
148,"[60069, 78499]"
151,[33615]
152,[1]
154,"[4306, 87222]"
156,"[588, 595, 364, 1688]"
158,"[588, 595]"
159,"[8360, 8961, 3751, 34, 56152]"
160,"[4886, 6377, 588, 3114, 41566]"
162,"[1, 2384, 661, 2355, 364]"
163,"[181, 4748, 4749]"
164,"[5444, 41566, 49274]"
165,[364]
166,[1]
167,"[1, 661, 588, 595, 34, 1015]"
169,"[4306, 6936, 56152]"
171,"[2, 4306, 4886, 3751, 5218, 3114, 837, 2294, 2083]"
173,"[588, 2]"
175,[364]
184,[4306]
185,[2]
186,"[362, 531, 1, 588, 4306, 8360, 34, 3114, 8961]"
187,"[2142, 3114, 4886, 3751, 76093, 63859, 74580, 44022, 45431, 59501, 6297, 8907, 40339, 34332, 51698, 72294, 50872, 4748, 81847, 87222, 95167, 94833, 103755]"
188,"[1, 4306, 3751]"
189,[3114]
190,"[1688, 828, 588]"
191,[68954]
192,[59784]
193,"[4306, 4886]"
194,[531]
195,"[68954, 50872]"
197,"[6377, 1, 8961, 4306]"
198,[711]
199,"[588, 364]"
200,"[1, 34, 2]"
201,[3751]
206,[588]
208,"[60069, 50872]"
211,"[48, 78499, 1, 595, 364, 2953, 2]"
212,[3988]
215,[551]
216,"[1907, 6377]"
217,"[588, 4886, 6377, 1, 364, 551, 4306, 1907]"
218,[8961]
220,[1588]
221,"[2355, 551]"
224,"[4306, 364, 76093, 60069]"
225,[2083]
226,"[4306, 551]"
227,"[588, 78499, 68954, 76093]"
228,"[239, 595, 1]"
229,"[410, 364]"
230,"[1, 1367, 673, 2]"
231,[364]
235,"[81564, 3751, 81847]"
236,"[1, 48]"
237,[2355]
239,[364]
240,"[3438, 3439]"
242,"[588, 4306]"
243,[60069]
244,[595]
249,"[595, 364]"
253,[63859]
254,[661]
256,"[531, 1]"
257,"[4306, 4886, 50872, 551]"
258,"[364, 158]"
259,"[4306, 1, 3159]"
261,[4886]
262,[588]
265,"[1, 595, 2, 3114, 38038]"
267,"[68954, 78499]"
269,[595]
270,[2355]
271,[8961]
275,"[60069, 76093]"
276,[3114]
278,[2]
280,[588]
282,"[65261, 60069, 114552, 37857]"
285,"[60, 3988, 4886]"
287,"[588, 8961, 1907, 2355]"
292,"[364, 1, 60069]"
295,"[673, 313, 81564, 588]"
296,"[1, 364, 6377, 8961, 81847]"
297,"[1, 661]"
300,[68954]
302,"[4886, 50872]"
304,"[1, 364]"
305,"[108932, 79091, 95167]"
306,[588]
307,"[3114, 4306]"
309,[783]
310,"[4306, 33615]"
311,[595]
312,[362]
315,"[364, 34]"
316,[364]
317,"[4306, 4886, 8360, 8961, 53121]"
318,"[1, 49274, 43560]"
320,[2124]
321,"[60069, 8961, 1, 50872, 588, 6936, 34, 2761]"
323,"[551, 1, 8360]"
324,[69644]
326,[60069]
332,[4306]
333,"[673, 2, 27]"
335,[78637]
338,[588]
339,[4886]
341,[2]
343,"[8961, 4306, 8360]"
347,"[3988, 6377, 8961, 4886, 8360]"
348,"[2355, 4306, 3751]"
350,[1]
352,"[588, 34]"
354,[6377]
355,"[4306, 588, 364]"
357,"[1907, 2761, 111659, 86298, 68954]"
358,"[4306, 1, 59784, 1907, 1566]"
359,"[2355, 1]"
360,"[673, 631]"
362,[8961]
364,[8961]
366,[588]
368,"[1, 3799, 40851, 108932, 2761, 71264]"
369,"[1, 3114]"
370,"[551, 34]"
371,"[595, 364, 355]"
372,[2]
373,"[5048, 4306]"
374,"[631, 158, 551, 783]"
375,[3438]
378,[4306]
381,"[1, 4306, 8961]"
382,"[8360, 59784, 76093, 84944, 79091, 71264, 33615]"
385,"[2355, 34, 595]"
386,[1]
