userId,movieId
4,[54881]
12,"[34072, 45950, 1827]"
13,"[8622, 55620]"
19,"[61236, 118466, 86279]"
23,"[1147, 2677]"
39,[162]
43,"[45928, 27912, 5669]"
55,"[3677, 96606]"
57,"[44788, 44633]"
59,[3677]
62,"[8464, 3989]"
68,[46098]
69,[5669]
72,[1050]
76,"[74152, 56563]"
82,"[71450, 96606]"
83,[4824]
84,"[77629, 47999]"
95,"[100556, 34542, 127152]"
107,"[8622, 5669, 27846, 2677]"
110,[68099]
119,"[556, 87930]"
120,"[1361, 1147, 3007]"
121,[3182]
139,"[5669, 1147]"
147,[556]
148,"[117533, 77455]"
155,[59126]
159,"[53894, 8622]"
160,[5669]
164,"[5669, 8011, 27878]"
169,[47999]
171,"[5669, 1111, 7156, 2677, 5325]"
175,[2693]
187,"[27899, 59126, 5785, 1361, 74677, 71131, 3303, 59105, 55620]"
190,[581]
193,[5669]
196,"[34153, 7156]"
201,"[162, 2689, 1147]"
204,[80906]
207,[5785]
213,[8622]
215,[4304]
216,[8622]
217,"[6331, 8464]"
223,[81156]
226,[3881]
227,[85774]
228,"[73392, 48322]"
284,"[3677, 61236]"
285,[556]
286,[77455]
301,[117533]
318,"[5669, 27912, 6380, 7932, 45950, 49132, 48322]"
321,"[8622, 5669]"
343,[5669]
345,[3007]
357,"[53894, 117533, 68522]"
378,[8581]
379,[8464]
395,[5669]
401,[8464]
402,[71282]
408,[5785]
410,"[27846, 7156]"
414,"[581, 1147]"
417,[1147]
426,"[26729, 85774, 80906, 96606, 34072, 93721, 101106, 90943, 48322]"
431,[8622]
440,"[53894, 45950, 8622, 26729]"
446,"[4304, 3007]"
447,[116]
450,[81158]
460,"[98122, 45928]"
468,[5669]
477,"[8622, 5669, 48322]"
483,[3989]
491,"[80906, 85774, 93721, 100556]"
514,"[80906, 110387]"
541,"[120478, 76054, 96606]"
544,[117533]
550,[8464]
551,[8464]
557,[5669]
567,[34153]
581,[45928]
587,[5669]
608,[85774]
610,"[117533, 127019]"
611,[1147]
626,"[6331, 34072, 1147]"
642,"[8622, 27846]"
648,[96606]
694,[1649]
709,[5785]
714,[8464]
720,"[5669, 8464]"
727,[8464]
736,"[7156, 97393, 5669]"
741,"[6331, 88835, 112399]"
757,"[8622, 7156, 34338, 3002, 6195, 47999, 46347, 6780, 44788, 27820, 3859, 2693]"
785,"[1147, 1192, 722]"
792,[8581]
801,"[61236, 110387]"
803,"[3002, 4304, 5137, 5669, 7156, 8930, 59590, 60295]"
815,[96488]
832,[114635]
833,"[8464, 34072]"
844,[1649]
847,"[27820, 6935, 6331, 6772, 7096, 4237, 45950, 55687, 60766, 60333, 60183, 58191, 86096, 97168, 96488, 97639, 70295, 102588, 101218, 121171, 110324, 118466, 127164, 114635, 100106, 127180]"
855,[162]
858,"[6380, 6299, 6679, 34072]"
859,"[6667, 6380, 1147, 6963, 27873, 8011, 162, 5325, 8622, 1827, 5670, 6400, 2677, 48322, 39441, 45950, 81158, 81191]"
864,[443]
870,[117533]
871,[127146]
875,"[1827, 1147]"
876,[8464]
877,[27846]
886,"[8464, 93721, 117533]"
896,[77455]
901,"[112582, 5669, 96488, 94024, 26729, 34542, 54881, 47999, 1361, 83219, 59126]"
902,[8622]
904,"[34072, 47999, 68522, 5669, 93721]"
909,[8622]
912,[71131]
925,[99]
927,"[1361, 1111]"
935,[117533]
939,[8464]
947,"[80862, 45950]"
955,[74152]
958,[756]
971,[5669]
972,"[8464, 53894]"
993,"[68522, 8011]"
997,"[98122, 101106]"
1007,[5669]
1014,"[54881, 6331, 85774]"
1025,[2677]
1028,"[59126, 80906]"
1033,"[45950, 27899]"
1038,"[6299, 162, 5669, 6331, 8930, 34542]"
1042,[5669]
1048,"[5669, 1111]"
1053,[50851]
1059,[7256]
1062,[5137]
1066,"[1361, 3007]"
1087,[27850]
1095,[162]
1105,[6772]
1107,"[162, 7256, 5669, 556, 27846]"
1109,[45950]
1115,[3989]
1121,[4783]
1127,[8464]
1134,"[5785, 8464]"
1139,[45950]
1146,"[162, 2677, 1111, 581, 1361]"
1148,"[34072, 27846]"
1158,[8464]
1163,[8464]
1174,"[60333, 90943]"
1177,"[27899, 5669]"
1187,[80906]
1190,[5669]
1197,[2677]
1201,[8930]
1202,[8930]
1203,"[85016, 3281, 34072]"
1220,[8622]
1228,"[127152, 45950, 8581, 97744]"
1242,"[8622, 34072]"
1243,[27846]
1273,[5669]
1277,"[1361, 3007, 3182, 1147]"
1281,"[101218, 114635, 96606, 100556]"
1289,[7256]
1316,[5669]
1319,"[162, 5669, 6692]"
1327,[33154]
1329,"[162, 6780, 2693]"
1342,"[96488, 27846]"
1356,[1192]
1358,[83293]
1367,"[45950, 2677, 34072]"
1372,"[80906, 7932]"
1387,"[162, 3007, 1649, 1827, 2061]"
1401,"[99468, 8622, 77455, 97673, 112582, 34542, 1147, 2693, 47999, 3182, 7171, 26712, 71131, 112399, 6400]"
1402,[1147]
1405,"[3077, 206]"
1424,"[7156, 6380, 67665, 5669, 55176, 86290]"
1428,"[50851, 102062]"
1430,[81156]
1434,[3007]
1440,[106889]
1442,"[34338, 96488, 97393, 117533]"
1444,"[1361, 162, 85774]"
1452,[2677]
1464,[81158]
1470,[32582]
1474,"[47999, 5325]"
1477,"[5785, 1649, 5670, 31539, 8938, 34153, 81156]"
1478,[117533]
1480,"[65709, 3007, 111235, 100106, 72712, 67665, 7156]"
1481,"[8464, 53894]"
1482,"[8622, 7256, 1147, 7786]"
1492,[2693]
1495,[602]
1499,"[5669, 7156]"
1511,[97866]
1516,"[8464, 6368, 6331, 7156, 8622, 6679]"
1526,[34072]
1530,[3077]
1533,[6679]
1543,"[47999, 44788, 581, 97639, 90378, 109282, 31689]"
1551,"[6869, 27846]"
1556,[162]
1578,"[93721, 96488]"
1583,[77629]
1592,[2693]
1604,"[8464, 5669]"
1606,"[1361, 6380, 6299, 5669, 7156, 8464]"
1612,"[1050, 3182, 7156, 34153]"
1616,[7156]
1619,"[8464, 1192, 3281, 4237]"
1626,"[5483, 5669]"
1630,[1147]
1639,"[581, 8464, 8622, 45950, 116, 71450, 7171, 89102]"
1644,[33539]
1647,"[45950, 56563]"
1650,[117533]
1652,"[77455, 60291, 80862, 90943]"
1667,[2677]
1672,[8581]
1673,"[93574, 100106, 100581]"
1677,"[5669, 8622]"
1689,[2494]
1691,[120478]
1692,[34338]
1704,"[6331, 7156, 7932, 34542]"
1705,[3007]
1709,"[68536, 7932, 61236, 60766, 80906, 6380]"
1710,[5669]
1722,"[8464, 5669, 6679, 2677]"
1733,[1147]
1735,[96488]
1745,[87004]
1748,"[5669, 58376, 107117, 103275, 103474, 3989, 8581]"
1749,"[1827, 1147]"
1764,"[5669, 581]"
1781,[8464]
1788,[45950]
1792,[3007]
1798,[117533]
1824,[5669]
1831,"[6299, 47999, 80906, 101106, 96488, 106332, 108575, 130351, 5483, 104757]"
1833,"[8622, 8464]"
1835,[7256]
1839,[162]
1847,"[2323, 1192]"
1855,[5669]
1857,[54881]
1866,"[80906, 96488, 27846]"
1883,[117533]
1886,[1147]
1894,"[1111, 3182]"
1899,"[8622, 3077, 34072]"
1909,[1361]
1911,[8464]
1922,[54881]
1935,[5669]
1941,[48322]
1946,[6331]
1947,[26729]
1956,[7256]
1967,"[34153, 6299, 443]"
1975,[8464]
1977,[7156]
1989,[1147]
1991,[44633]
1992,[2677]
1995,[8622]
2003,"[77944, 27846, 5669, 117533, 45950, 7156, 85394]"
2004,"[3539, 8622]"
2008,[34072]
2009,"[1147, 581]"
2012,"[1147, 3007, 162, 3989, 5483, 5669, 6306, 6380, 8464, 8622, 6963, 33154]"
2013,"[73276, 80906]"
2028,[1147]
2032,"[8622, 8464, 27912, 27846, 7124, 59590, 3539]"
2035,[8622]
2046,[8581]
2054,"[8622, 5669, 27846, 6869, 60766, 68099]"
2058,"[8581, 8464]"
2069,"[8464, 5669, 6331]"
2076,[1147]
2079,"[6612, 77455, 54881, 77833, 61257]"
2082,"[162, 1050]"
2092,"[1147, 1123, 4217, 1649]"
2115,[7256]
2133,[2693]
2144,[162]
2153,[34542]
2158,[80906]
2165,"[80906, 98122, 78856, 77455, 61236]"
2169,[7932]
2177,"[1050, 4217, 4769, 581, 5669, 8931, 8464, 8455, 7171, 31689, 78517]"
2182,[116]
2186,[71462]
2204,[8464]
2210,"[127164, 112399, 89090]"
2211,[1111]
2213,"[162, 206]"
2218,"[2677, 27820]"
2237,[206]
2242,[3077]
2247,[43708]
2254,"[6331, 5820]"
2257,[54881]
2264,[8622]
2269,"[53894, 58191, 3677, 55071]"
2277,[69529]
2282,[61236]
2289,[8622]
2300,[206]
2318,[8464]
2319,"[5669, 71450]"
2329,[80906]
2335,"[443, 1111]"
2345,"[83219, 5669, 5785, 61236, 34072]"
2358,[2494]
2360,"[2677, 3182, 6062, 6269, 6299, 6380, 6869, 8622, 8464, 8011, 7932, 31689, 27850, 33154, 27878, 8979, 33838, 45950, 58191, 6612, 49132, 60766, 99468, 4217, 32582, 102588, 27334]"
2378,"[7256, 55071]"
2379,[5669]
2389,"[45928, 67665, 5669, 34072, 103255, 96488, 8622, 97866, 100581, 71450, 85394, 93721, 112334]"
2395,[6062]
2401,[8622]
2403,"[33154, 45950, 59126, 61236, 3677]"
2405,[33154]
2412,[5669]
2415,"[162, 7156, 5669, 1050, 60341, 3989]"
2418,[3865]
2429,"[54881, 80906]"
2430,[5669]
2436,[5669]
2442,[5669]
2443,[80906]
2449,[93649]
2450,[99]
2452,[6331]
2459,[1147]
2463,[8622]
2464,[5670]
2469,[5669]
