userId,movieId
1,[27266]
2,"[4886, 6539]"
3,"[30793, 41566, 4306, 4874, 76093, 7454, 4366, 57640, 86880, 51662, 65682, 52950, 88125, 81834]"
4,"[108932, 5618, 4886, 46972, 1265]"
5,"[1, 1265]"
7,[595]
8,[1265]
9,"[2, 317, 1126]"
10,[1]
12,"[265, 1215, 4306, 6773, 29, 5618, 48394, 46976]"
13,"[1, 595, 7373, 1265, 54001, 81847, 4886, 30810]"
15,"[2997, 3108]"
16,[5618]
18,"[353, 2617]"
19,"[5618, 65261, 367, 2, 55167, 27156, 7147, 27800, 2997, 1215]"
20,"[4306, 6539]"
21,"[59387, 26776, 5618, 79702, 48394]"
23,"[1835, 3108]"
28,"[1464, 3081, 1215]"
30,[2124]
31,[1265]
34,[78499]
35,"[317, 86882]"
36,"[60, 314]"
38,"[3000, 37729, 54259, 36401]"
39,[5618]
41,"[3081, 1215]"
43,"[595, 1215, 1, 5618, 1265, 2617, 2, 3000]"
44,"[95441, 65682]"
45,[837]
50,"[7147, 6539]"
53,"[1265, 4886]"
57,"[3052, 2997, 30810, 4886, 6539, 1265, 4306, 56152, 56715]"
59,"[6539, 5618, 2321, 5146]"
61,"[410, 3052, 551, 2321]"
62,"[51662, 49649, 54001]"
63,[3988]
66,"[2321, 6539, 4886]"
67,"[653, 2]"
69,[367]
70,"[4306, 2997]"
71,"[4886, 76093]"
72,"[353, 2997, 1458]"
75,"[595, 1265, 78499]"
76,"[31658, 551, 30793, 8254, 2997, 6773]"
77,[551]
78,"[5618, 4306, 4016, 3000, 91104, 78772]"
81,[2124]
82,"[48394, 3000]"
84,"[1464, 5618, 37729, 48082, 86882]"
85,"[367, 314]"
86,"[3114, 1, 2294]"
93,"[4306, 31658, 4886, 4016, 108932, 79702, 114552, 6373, 6593, 5419, 7380, 27706, 1, 8368, 50601]"
94,"[595, 410]"
95,"[114554, 31658, 8368, 81834]"
96,"[78499, 4306, 5618]"
97,[3489]
98,"[8368, 93272, 71264, 595, 106696, 837]"
101,"[74789, 4886]"
103,[410]
104,[5618]
106,"[265, 314]"
107,[5618]
108,[103042]
109,"[5618, 3114, 48394, 6539]"
110,"[1, 1265]"
111,"[4306, 4886]"
113,"[2997, 56715, 79357, 99764]"
114,"[105468, 41566, 95441, 6373]"
116,[3113]
117,"[5618, 7444, 110675]"
118,[367]
120,"[788, 2617, 3784]"
122,[595]
123,"[2997, 3114, 1265]"
124,[29]
125,"[3489, 4306, 4886]"
127,[1]
134,[653]
137,[1754]
138,[51662]
139,"[4306, 2997]"
141,"[595, 265, 661, 631]"
142,"[4886, 31658]"
143,"[653, 661]"
144,"[314, 54259, 48394]"
146,"[4306, 76093]"
148,"[48394, 78499]"
149,"[367, 485]"
151,"[60074, 6539]"
152,[1]
154,[4306]
155,"[2997, 367, 6373]"
156,"[1409, 595]"
158,"[595, 188]"
159,"[2297, 46976, 51662, 54001, 56152]"
160,"[4886, 3114, 41566]"
162,"[1, 661, 3000]"
163,[51662]
164,"[6539, 8368, 41566, 48394]"
165,[353]
166,"[2297, 3108, 1]"
167,"[1, 661, 595]"
169,"[4306, 54190, 6936, 56152]"
171,"[2, 4306, 1464, 4886, 3114, 353, 3052, 3358, 837, 1754, 265, 2294, 8373, 5065, 4890, 6686]"
173,[2]
174,"[1464, 1215]"
184,"[4306, 6539]"
185,"[3108, 2997, 1265, 2]"
186,"[1, 4306, 3114]"
187,"[74789, 367, 1265, 3114, 4886, 788, 317, 653, 3052, 2321, 485, 48394, 46976, 56715, 76093, 4446, 54001, 7373, 44, 6541, 4890, 77798, 3113, 59501, 45672, 5065, 8985, 37830, 74530, 72294, 27537, 79702, 61240, 81847, 73101, 1754, 83374, 84942, 85788, 81512, 90647, 99437, 103042, 103755]"
188,"[1, 4306]"
189,"[29, 2321, 6539, 3114, 506]"
190,[1339]
191,"[86332, 78105]"
192,[2723]
193,"[4306, 4886]"
195,[79702]
197,"[1, 4306]"
198,[788]
199,"[44, 606, 353]"
200,"[1, 653, 2]"
201,[1458]
204,[2997]
207,"[7373, 6754, 48043]"
208,"[86332, 7373, 31696]"
211,"[78499, 1, 1265, 595, 2]"
212,"[4446, 3988]"
215,"[551, 788]"
216,"[2297, 5127, 353, 8666, 7147]"
217,"[4886, 8368, 1, 551, 4306, 3052, 4874, 6857]"
218,[6539]
220,"[2622, 6539, 91104, 78772]"
221,[551]
222,"[54001, 2321, 81834, 88125]"
224,"[4306, 76093]"
226,"[4306, 551, 1265]"
227,"[78499, 76093, 86882, 8368, 47610]"
228,"[595, 1]"
229,"[410, 353]"
230,"[1, 673, 1409, 2]"
231,[265]
235,"[3000, 48394, 81834, 54001, 66097, 81847, 8368, 7147, 27156]"
236,"[788, 1]"
237,[1215]
238,"[61729, 54259]"
240,"[3438, 3439, 2253]"
242,[4306]
243,"[3000, 31658, 8368, 53993]"
244,[595]
249,"[595, 788]"
254,"[6373, 1265, 7444, 661]"
255,[30810]
256,[1]
257,"[48394, 4306, 4886, 8368, 551]"
259,"[4306, 2997, 1]"
261,"[1215, 788, 4886]"
265,"[1, 595, 367, 2, 3114, 6539]"
266,[31658]
267,[78499]
269,[595]
273,[2997]
275,"[8368, 85412, 76093, 118696]"
276,[3114]
278,"[653, 2, 1265]"
279,"[1215, 3052, 6539]"
280,[2997]
282,"[26776, 3000, 65261, 55167, 114552, 37857]"
283,[63992]
284,"[7147, 37729, 1241, 7123]"
285,"[60, 3988, 4886]"
286,[60074]
287,"[5618, 8368]"
289,[61240]
292,"[4874, 1]"
294,"[48082, 2997, 66097, 72731]"
295,"[673, 5618]"
296,"[1, 1265, 106696, 81847]"
297,"[1, 661]"
300,[81834]
301,"[2997, 3000, 30810, 5618, 48394]"
302,"[1265, 4886, 8368, 47610, 88125, 81834]"
304,[1]
305,"[2997, 108932, 106696, 81834]"
307,"[3114, 4306]"
309,[188]
310,"[4306, 653]"
311,[595]
317,"[4306, 4886, 53121]"
318,"[1, 8254, 48082, 43560]"
320,"[2124, 1464, 2997]"
321,"[1, 5618, 46976, 2997, 6936, 2327]"
322,"[2826, 2321]"
323,"[551, 1, 1265, 265]"
324,"[88125, 47610]"
326,"[51662, 48394]"
332,"[4306, 5618]"
333,"[673, 2]"
335,[78637]
338,[7444]
339,[4886]
340,[653]
341,[2]
343,"[6773, 8368, 5065, 5618, 4306]"
345,"[3113, 1215, 1339, 4874, 29]"
347,"[3988, 72407, 72731, 4886, 6539]"
348,[4306]
350,[1]
353,[653]
354,[47610]
355,"[4306, 95441, 6373, 8985, 5128, 42738, 65682, 88125, 724]"
357,"[1176, 2617, 90647]"
358,"[4306, 1]"
359,"[1265, 1]"
360,"[673, 631]"
362,[6539]
364,"[2997, 1265, 61240]"
368,"[79702, 56715, 1, 40851, 108932, 71264, 4874]"
369,"[1, 3114]"
370,"[3081, 1215, 1265, 2723, 551]"
371,"[353, 595, 367, 355]"
372,[2]
373,"[7444, 4306]"
374,"[367, 631, 551]"
375,"[3438, 6539, 48043]"
376,[5618]
378,[4306]
379,[1265]
381,"[1, 4306]"
382,"[76093, 7147, 103042, 71264, 86332, 90647]"
385,[595]
386,"[3052, 1]"
388,"[47610, 4874, 4890, 4306, 2, 367]"
392,[1]
394,"[47610, 6541, 2997]"
395,"[2, 6539, 8368, 47610, 86882, 54001, 85397]"
396,[1]
397,[6539]
398,"[314, 60]"
399,[4306]
400,[1835]
402,"[31658, 66097, 30793, 1, 2294, 74553, 3000, 78499, 86880, 92817, 101025, 103042, 102720, 103772, 108932, 90647, 98243, 119155]"
404,"[367, 317]"
405,[788]
406,"[54001, 8368, 6754, 76093, 81847, 4886, 110809, 106072, 47610, 91974, 101962, 104374]"
408,"[51662, 6754, 8373, 6936]"
409,"[31696, 788, 8368, 2, 353, 595, 2674]"
410,[3000]
411,"[1, 78499, 5313, 4886]"
412,[6936]
414,"[265, 1176]"
416,"[1265, 3108]"
418,"[3489, 46976]"
419,"[74789, 82169, 46972]"
420,[3114]
421,[1265]
422,[653]
424,[2294]
426,"[4306, 71745, 3988]"
427,[595]
428,"[367, 2]"
430,[29]
431,[2997]
435,"[1, 4016, 4306]"
436,[355]
437,"[4306, 595, 1265]"
438,[595]
439,"[48394, 31658, 3000, 79702, 26776, 1, 4886]"
440,"[54190, 1, 4306, 4886, 31658, 46976, 551, 66097, 48394, 3114]"
441,[30793]
442,"[6857, 1265, 367]"
443,"[2997, 2124]"
444,"[4306, 4886]"
445,"[88125, 31658, 4886, 48394, 8368, 51662]"
446,"[3081, 1215, 1339, 2327]"
447,[837]
449,"[4886, 90647, 1, 78499, 4016]"
450,[3000]
453,[595]
454,[31658]
459,"[2297, 595, 1339]"
460,"[86880, 103042, 78772, 85510, 82169, 91104, 91974, 98203, 101025, 48394, 6539, 8368, 7147, 6541, 6754, 46972, 42738, 37830, 31184, 4446, 51662, 5146, 61240]"
462,"[7147, 30793, 6936, 41566, 1265, 317, 4886]"
464,"[31696, 85412, 653]"
468,"[2321, 2997, 4886, 4306]"
469,"[37729, 78499, 104374, 3000, 3258, 81847, 3081, 86332]"
471,"[93272, 51662]"
472,"[2294, 3052, 3000, 4306]"
474,"[595, 410, 2, 353]"
477,"[2617, 6539, 367, 8965, 2, 7454, 4874, 3114, 42738, 3258, 3081, 8368, 1265, 1754, 45730]"
480,[673]
481,"[81834, 54001, 88125, 76093, 41566, 7373, 30793]"
482,[367]
484,"[60, 56, 837]"
486,[6754]
489,"[103772, 4874]"
491,"[61240, 2997]"
494,"[2826, 76093, 4306, 51662, 4886, 46972, 118696]"
497,"[1265, 4886]"
499,[551]
501,"[3081, 595, 3489]"
502,[1]
504,"[6539, 86880, 104374]"
505,[79357]
510,"[66097, 5618]"
512,"[837, 3988, 1]"
513,"[48394, 106696, 3114]"
514,"[7147, 1265, 367, 4306]"
515,[4886]
517,[76093]
519,"[4306, 1, 1265, 653, 7373]"
520,[5618]
521,"[74789, 1, 4306, 485, 4446]"
522,[5618]
527,"[54001, 104374]"
528,[265]
531,[3000]
533,"[595, 367]"
537,[551]
538,"[7444, 5618, 88125, 6773]"
540,[595]
541,"[6539, 31658, 76093, 3114, 4306, 36289, 3081, 130073, 4886, 106072, 118696, 101962, 4366, 130520, 27706, 41566, 54001, 78499, 48394, 47610, 56152, 71264, 81834]"
544,"[48043, 7147, 6539, 2997]"
545,[265]
546,[5618]
548,"[47610, 103042, 1, 91273, 4886, 55999, 59501, 74488, 4366, 4446, 7147, 56715, 6902, 46976, 3108, 72731, 353, 3438, 52712, 6539, 56915, 1215, 27905, 37830, 6754, 4306, 6541, 43560, 2316, 2297, 58105, 56171, 7373, 6547, 27134, 5065, 2617, 70769, 7657]"
549,"[1, 4886, 6539]"
550,"[4306, 46972, 367, 673, 4890, 37729, 130520]"
551,"[1265, 4980, 1]"
554,"[4874, 2997]"
558,[8373]
559,[653]
560,"[3439, 51662]"
561,"[1, 3052, 724, 551]"
562,[46976]
563,"[5618, 27731, 37729, 4886]"
564,[2]
565,"[2294, 1126]"
566,"[1265, 2997, 2321, 661, 2617, 4306, 367]"
567,"[4902, 1339, 1, 410, 6539, 4886, 3355, 30810, 4874, 45081]"
569,[3108]
570,[724]
571,[1835]
572,"[2997, 2321, 2124, 3358, 2617, 4306]"
573,[1]
574,[2997]
575,"[7444, 2997, 30793, 5128, 73929, 31696]"
577,[6936]
578,"[595, 2]"
580,"[595, 2, 265, 258]"
581,[4306]
582,[1]
583,[4306]
585,[106072]
587,"[4886, 5463]"
588,[4886]
591,[353]
592,"[1265, 1835, 2316]"
593,"[78499, 8368, 6373, 108932]"
596,"[42738, 37830]"
597,"[551, 2617, 2124, 2297, 4016, 1241, 1754, 3258, 4873, 7373, 6773]"
598,"[47610, 4890]"
599,"[3081, 2622]"
600,"[718, 265]"
601,"[314, 3157, 2294]"
604,[367]
605,"[6539, 6373]"
606,"[81834, 57640, 88125, 79702, 95441, 54001, 78499, 8368, 103772, 104074, 58105, 59103, 82169, 86880, 51662, 65685, 788, 3489, 130087, 60074, 53121, 56171, 27706, 6686, 837, 100487, 101025, 106072, 1, 3114, 595, 6593, 4890, 105468, 83480, 114795, 108689, 53993, 87529, 60937, 51077, 92938, 5313, 83349, 83132]"
607,"[48394, 1, 4306, 4886]"
