userId,movieId
3,[89753]
12,[1617]
13,"[32587, 88129]"
19,[44849]
28,"[1464, 1748]"
37,[32587]
38,[88129]
40,[1245]
43,[32587]
46,"[1748, 1617]"
50,[32587]
57,[44761]
72,"[1617, 1245, 1748]"
84,"[1464, 89753]"
107,"[1245, 44761]"
109,[1617]
132,[1617]
142,[1617]
148,[1617]
153,[32587]
155,[32587]
162,[1617]
164,[32587]
166,"[1617, 164]"
171,"[1748, 1617, 1464]"
174,[1464]
175,[1617]
185,[1617]
187,"[32587, 88129]"
195,[88129]
196,[1617]
201,[1617]
204,[88129]
213,"[1617, 4848]"
217,[1617]
224,"[32587, 88129]"
228,"[1245, 79927]"
237,[1617]
240,[1601]
243,[88129]
252,[88129]
278,[164]
318,[1617]
320,[1464]
326,[88129]
334,[1245]
343,[1245]
357,[1748]
370,[1748]
371,[999]
386,[1748]
390,[88129]
402,[89753]
409,[1617]
418,[32587]
425,[88129]
426,"[88129, 1245]"
429,[32587]
440,"[1617, 4848, 32587]"
443,[1617]
450,[347]
460,[88129]
462,[1617]
488,[1617]
491,[88129]
492,[1617]
494,"[1617, 32587]"
514,"[1617, 88129]"
519,[1617]
535,[1617]
541,[4848]
547,[4848]
548,"[1617, 32587]"
552,[1748]
554,[32587]
597,[1617]
607,[32587]
608,[88129]
611,[1617]
626,[1748]
629,[44761]
642,"[32587, 1617]"
647,[1748]
648,[4848]
649,"[1617, 1245]"
651,[999]
694,[1617]
695,[1748]
700,"[88129, 32587]"
705,[4848]
707,[1617]
709,"[88129, 32587]"
714,[32587]
719,[1617]
732,[1617]
734,[1617]
738,[32587]
741,[1617]
756,"[32587, 1617]"
757,"[1245, 4848]"
765,[1617]
775,[32587]
783,[88129]
792,[32587]
793,[4848]
794,"[1617, 1245]"
801,"[4848, 1464]"
803,[4848]
832,[1617]
844,[1617]
846,[1245]
847,[1748]
857,"[1617, 32587]"
858,[1748]
859,"[32587, 1617]"
861,[1617]
865,[999]
871,"[4848, 1617]"
876,"[32587, 1748]"
894,[1617]
899,[4848]
901,"[88129, 32587, 89753]"
904,[44761]
912,[32587]
919,"[32587, 1617]"
927,"[1617, 1464]"
939,"[1748, 32587]"
948,"[1617, 3728]"
952,[32587]
954,[32587]
963,[1617]
967,[88129]
983,"[1464, 4848, 88129]"
997,[89753]
1000,[1464]
1013,[1617]
1038,[1748]
1040,[32587]
1048,"[88129, 44761]"
1059,"[4848, 1464]"
1065,"[1617, 3728, 164]"
1075,[32587]
1100,[1617]
1101,[88129]
1106,[32587]
1107,[4848]
1115,[1617]
1121,[1245]
1141,[1617]
1146,[1617]
1156,[1617]
1159,[1748]
1168,[32587]
1171,[1617]
1173,"[1464, 1748]"
1176,[1617]
1201,[4848]
1202,[4848]
1214,"[1617, 1601]"
1219,[1617]
1220,[1245]
1223,"[1617, 1245]"
1228,[89753]
1231,[1748]
1242,[1617]
1243,"[1617, 4848]"
1253,"[88129, 4848]"
1269,[1748]
1277,[164]
1281,"[4848, 1464]"
1289,"[1617, 4848]"
1290,[1748]
1298,[1617]
1304,[1245]
1305,[1617]
1307,[1617]
1309,[88129]
1319,"[4848, 44761]"
1335,[88129]
1338,"[32587, 88129]"
1339,"[1617, 164]"
1342,"[1617, 1748]"
1356,[1617]
1362,"[1617, 164]"
1365,[1245]
1367,"[1748, 347]"
1381,[32587]
1384,[4848]
1402,[1245]
1405,"[1617, 1464, 1748]"
1409,"[1617, 88129]"
1425,[320]
1427,[32587]
1436,"[999, 1245]"
1440,[88129]
1444,"[1617, 1245, 32587]"
1452,[1617]
1454,[4848]
1466,[4848]
1470,[1617]
1475,[32587]
1477,"[1617, 4848, 48872]"
1478,[1245]
1482,[1245]
1491,[1617]
1507,[32587]
1541,[32587]
1544,[32587]
1553,[1245]
1554,[4848]
1556,"[1617, 164]"
1559,[1617]
1561,"[1617, 32587]"
1571,[1245]
1588,"[4848, 1464]"
1589,[1748]
1596,[32587]
1604,"[1748, 4848, 32587]"
1606,"[1617, 4848]"
1612,[1617]
1619,"[4848, 1617]"
1623,[88129]
1628,[32587]
1630,[1617]
1644,[32587]
1647,[1748]
1650,"[88129, 4848]"
1652,"[89753, 1748, 44761, 3728]"
1671,[1748]
1677,[88129]
1678,[4848]
1686,[1617]
1692,[4848]
1695,"[1245, 32587, 88129]"
1701,[32587]
1702,[32587]
1709,[44761]
1717,"[1617, 1245, 3728, 1748]"
1722,[1748]
1725,"[32587, 1748]"
1731,[32587]
1733,[1617]
1736,[89753]
1738,[164]
1756,[347]
1758,[32587]
1761,[1617]
1765,[1617]
1773,[999]
1778,[88129]
1781,[32587]
1807,[1617]
1816,[32587]
1820,[1617]
1822,[88129]
1831,[1617]
1833,[32587]
1838,[1617]
1847,"[1748, 88129]"
1851,[4848]
1857,[88129]
