userId,movieId
3,"[593, 3535, 3300, 56174, 7454, 73268, 65682, 52950]"
4,[115122]
5,[593]
8,[1407]
9,[593]
10,"[3863, 6502]"
12,"[1215, 2710, 6502]"
13,"[593, 7373, 8874, 70, 56174, 8957, 53519]"
18,"[253, 2762, 2617]"
19,"[7022, 109848, 6502, 62203, 1215]"
20,[593]
21,[3300]
22,[253]
24,[2167]
25,[593]
28,"[3300, 3081, 1215, 253]"
29,[6755]
32,[593]
33,[593]
38,"[5502, 4720, 3863, 36401]"
40,"[2762, 593]"
41,"[3081, 2722, 2719, 1215, 70]"
42,[593]
43,"[1215, 253, 2617]"
44,[65682]
50,"[593, 4148]"
56,[2762]
57,"[8957, 56757]"
59,[5146]
62,"[593, 56174]"
67,[891]
69,"[2762, 593]"
70,[593]
72,"[2710, 2713, 2328, 70, 1590, 3264, 593, 4148]"
75,"[593, 8874, 6502, 53000, 2762]"
76,"[1342, 7022]"
80,[3499]
83,[22]
92,[593]
93,"[2762, 8874, 97172]"
95,[593]
97,"[22, 6323]"
103,[593]
111,[593]
116,"[3113, 2167]"
120,"[2762, 1320, 3273, 2617, 3826, 3798]"
125,[593]
130,[1717]
132,"[2762, 593, 3798]"
135,[1603]
137,[593]
138,[6502]
142,[593]
146,[2762]
147,"[593, 735]"
152,[593]
154,"[2762, 94864]"
156,[593]
158,"[253, 273, 188]"
159,[5502]
161,[2793]
165,[253]
171,"[5502, 593, 6323, 3300, 6502, 6755, 5065, 3785, 3826]"
174,[1215]
175,"[3499, 532, 2841, 3535, 1037]"
178,"[2710, 593]"
181,[407]
183,[593]
186,[593]
187,"[3300, 6502, 2710, 1407, 196, 71535, 3499, 4720, 2232, 63826, 37720, 43904, 65813, 48518, 5883, 78266, 2167, 7373, 1644, 77798, 6659, 3113, 799, 2719, 71379, 5065, 2713, 2338, 8985, 40732, 8947, 77427, 55232, 6058, 4876, 74685, 6250, 366, 6880, 71205, 53127, 27482, 45662, 54785, 30894, 52644, 50800, 70208, 60832, 53435, 51709, 61240, 81535, 72393, 84395, 86295, 85788, 89343, 89030, 88932, 86410, 92058, 82041, 94864, 97988, 98109, 99437, 99787, 101739, 103483, 103688, 99912, 75395, 97051]"
188,"[3300, 1690, 2167, 2762]"
190,"[1339, 593]"
192,[6755]
196,[8874]
199,"[593, 606]"
203,[6502]
205,"[253, 593]"
206,[593]
207,"[7373, 6754]"
208,"[593, 7373, 31696, 93840]"
212,"[2710, 3863, 2762]"
216,"[2762, 3499, 5502, 4720]"
217,"[253, 382, 3300, 2232, 7022]"
220,"[1407, 1717, 86295, 4030, 35957, 93840, 99047]"
221,[593]
223,[196]
224,[2167]
226,[4720]
228,"[55282, 3535, 71535, 8874, 74750, 2762]"
229,"[253, 532]"
230,[22]
231,[593]
233,[2762]
235,"[8874, 71535, 1407, 253]"
236,[22]
237,[1215]
240,"[70, 1407, 3273, 3499, 1644]"
243,"[71535, 4148, 40732]"
247,"[593, 2762, 3798]"
248,"[103249, 70]"
249,[593]
253,[56174]
254,"[2762, 6058, 43679]"
257,[6502]
261,"[2762, 1215]"
263,"[3863, 2762]"
275,"[71535, 5254, 85412, 56174]"
276,[593]
278,"[593, 22]"
279,[1215]
281,[593]
284,"[3535, 1241, 56145]"
285,"[593, 2167, 4148, 4720]"
287,[48877]
288,[593]
289,[61240]
291,[3798]
292,"[3300, 6502, 93840]"
293,[7022]
294,"[93475, 72731, 103688]"
302,"[3535, 2762]"
306,[273]
309,[188]
313,"[6888, 3785]"
321,"[1407, 2762, 6502, 5502, 7360, 56145, 40732, 103688, 6755, 68952, 51709, 89837, 3499, 71500, 74750, 44828, 2327]"
322,[5254]
325,[1407]
326,[593]
327,[253]
329,"[253, 196]"
333,"[593, 2338, 1644, 3798]"
334,[2167]
342,[593]
343,"[5065, 593]"
345,"[3113, 1215, 1339, 2710, 593, 4725, 3300, 6323]"
347,"[72407, 72731]"
350,[593]
352,[593]
355,"[8985, 6502, 93840, 4720, 8957, 4148, 5679, 48877, 1320, 6058, 86835, 54785, 33085, 55577, 6952, 72129, 42723, 81535, 27839, 81417, 105731, 65882, 53435, 6379, 92422, 6707, 76030, 60471, 5128, 27338, 4735, 114713, 33164, 103299, 104908, 53000, 94864, 42738, 57274, 34532, 65682, 70159, 724]"
357,"[593, 27317, 2617, 52666, 253, 4148, 2722, 118880]"
359,[1320]
362,[5502]
364,"[8874, 61240]"
367,"[104457, 74228, 121231]"
368,[86835]
370,"[3081, 1215, 2026, 593]"
374,[253]
375,"[2167, 55232, 8861]"
376,[593]
378,[6242]
379,"[2762, 3499]"
381,[593]
382,"[94864, 103249, 71535]"
384,[593]
386,[2167]
392,[593]
394,[94864]
395,"[593, 4148, 50804, 8874, 85397]"
396,"[593, 183, 70, 799]"
398,"[593, 196]"
399,[2762]
402,"[56757, 8874]"
403,"[593, 3535]"
406,"[6754, 71535, 99007, 91974]"
408,"[2710, 7360, 2120, 6754, 56174]"
409,"[31696, 253, 1320]"
410,"[3863, 2762]"
411,[3785]
414,[532]
417,[593]
418,"[2762, 2710, 6502, 53000, 593]"
423,[2232]
424,[2167]
425,[8874]
426,"[593, 56174]"
427,[273]
431,[6502]
435,[593]
437,[593]
438,[593]
439,[70]
440,"[2762, 4720, 1407, 8874, 54995, 6242, 53519, 6323, 2710]"
441,"[3798, 2710]"
442,"[1320, 7022]"
445,"[6323, 8874, 5502]"
446,"[3081, 2762, 1215, 593, 3499, 1339, 2120, 2327, 3830]"
449,[2762]
450,[593]
456,"[2232, 110591]"
457,[593]
459,"[253, 1339]"
460,"[91974, 96691, 5219, 6754, 42738, 8947, 32213, 53000, 6502, 55232, 73268, 93840, 593, 5254, 5146, 103249, 61240, 47952]"
463,[799]
464,"[31696, 85412]"
468,"[2762, 3499]"
469,"[3081, 3300]"
471,[103249]
474,"[593, 196, 22]"
475,[94864]
477,"[2617, 5219, 2560, 5502, 6502, 4148, 3785, 3273, 6952, 253, 6379, 1407, 27839, 6888, 39446, 34532, 2762, 33085, 7454, 43679, 42738, 593, 3863, 3081, 2841]"
479,"[2995, 3863]"
481,"[2762, 4720, 7373]"
486,"[593, 6754]"
487,"[2722, 5219]"
488,[593]
489,"[74228, 93164, 89030, 2762, 4036, 4720, 7022, 8874, 55282, 74452, 103249]"
491,"[4720, 61240]"
492,[70]
494,"[2762, 89030, 80846, 8957, 2167, 22, 6502, 93840]"
501,"[3081, 2762]"
507,"[2428, 3826, 2762, 2841]"
510,[97188]
514,[1407]
517,"[6502, 8874]"
519,"[6502, 7373]"
521,"[593, 7022, 2762, 2710]"
524,[3798]
526,[70]
527,[103688]
528,[253]
531,"[593, 62733, 40732]"
532,"[253, 196, 328]"
535,[1407]
541,"[3081, 103688, 4720]"
542,"[93840, 56145, 3535, 1407, 86295]"
547,"[593, 1320, 1690]"
548,"[130052, 6323, 130642, 115122, 113780, 96815, 101739, 94867, 5833, 79929, 94864, 97188, 5663, 119629, 1623, 8874, 74685, 84189, 81417, 81140, 72787, 102263, 3973, 8578, 74750, 71535, 72731, 74228, 70159, 71135, 4720, 71732, 1215, 2428, 27798, 110070, 33085, 6754, 83923, 879, 61262, 27772, 253, 6502, 3798, 66943, 799, 7373, 5065, 8369, 2617, 7657, 1690, 54995, 1320, 87205]"
550,[1407]
551,[2762]
553,[22]
554,"[1590, 40732, 70, 53519, 83134, 54995, 90345]"
556,"[2762, 593]"
559,[12]
560,"[48877, 2762]"
561,"[799, 2710, 3499, 1407, 724]"
565,"[177, 1342, 1623]"
566,[2617]
567,"[1320, 4902, 593, 6502, 8019, 4725, 5833, 1339, 3535, 8225, 2560, 34532, 2762, 4036, 8578, 5663, 3355, 5219, 6707, 34143, 6058, 8810, 5784, 56145, 3300, 44828, 5502, 54771, 33896, 40732, 4865, 55282, 3863, 27482, 27338, 61262, 45081, 57910]"
568,[593]
570,[724]
572,"[3300, 2617, 4720, 593]"
575,"[3535, 71379, 5128, 54995, 74685, 73929, 5502, 31696]"
578,[196]
581,[196]
587,"[2762, 4720, 3300, 5833]"
590,[593]
591,[593]
592,[93]
595,"[2762, 4720]"
596,[42738]
597,"[2617, 1320, 532, 253, 593, 2841, 1241, 7373, 6659]"
598,[3863]
599,"[3081, 2762]"
600,[593]
606,"[94864, 2762]"
608,"[593, 253, 2762, 8957, 93840, 8874, 83134]"
610,"[593, 2232, 6502, 56174]"
611,"[593, 70, 3499]"
619,"[71535, 56174, 1690, 53953]"
622,[593]
624,[593]
625,[22]
626,"[1037, 2052, 2762, 3081, 1590, 7373, 8985, 2167, 42738]"
628,"[56757, 103249, 94864]"
629,[1320]
633,[593]
636,[532]
638,[253]
642,"[1320, 1690, 2232]"
644,[593]
647,"[4720, 8874, 1320, 2232, 114044, 100163, 27402, 115122, 93840, 97188, 92192, 1690]"
648,[56174]
649,[593]
652,[593]
653,"[332, 2232, 1339, 3863, 3300, 7845, 532]"
654,"[253, 593]"
658,"[2389, 593, 2762]"
659,"[2710, 2560]"
671,[593]
672,[593]
674,[6502]
675,[8874]
676,"[593, 426]"
677,[253]
679,"[54995, 2167]"
684,[74750]
691,"[2560, 2710, 1407]"
693,"[593, 253]"
694,"[2762, 3081]"
695,"[70, 1215, 397, 22]"
696,[593]
698,"[97188, 74370]"
700,[71535]
702,[3785]
705,[65682]
707,"[1215, 3264, 2617, 2810, 593, 3300]"
709,"[2762, 8874, 71535, 7454, 42738, 5065, 8985, 70, 103075, 57274, 104908]"
711,[593]
712,[117650]
713,"[2167, 42738, 71535]"
714,"[593, 8810, 2167]"
716,[1690]
718,"[3081, 3785, 3798, 382]"
719,[2762]
722,"[6659, 5679]"
727,[8874]
729,[56339]
731,[593]
734,[1407]
736,[8874]
738,[2762]
740,"[593, 4148]"
741,[2762]
747,[593]
748,[593]
749,"[593, 8874]"
751,[2762]
752,[593]
756,"[7373, 5679, 2827, 3300, 1590, 6952]"
757,"[6975, 27563, 6755, 40732, 2232, 1407, 2167, 724, 6659, 5254, 46965, 3264, 5065, 532, 4036, 5478, 253, 2617, 4902, 34323, 3300, 188, 56145]"
758,[593]
759,[6754]
760,"[22, 2762]"
762,[2617]
764,[70]
765,[22]
766,[593]
767,[593]
768,"[593, 253, 5065]"
770,"[2841, 593]"
773,[593]
780,[2762]
781,"[1644, 86295]"
783,[2762]
787,[593]
788,[593]
790,[593]
793,"[3863, 426, 2167, 1320]"
795,"[2762, 2167, 1215]"
797,"[253, 2617]"
798,[593]
800,[103688]
801,"[3535, 109848, 118880]"
803,"[3535, 3355, 3081, 5833, 6502, 7022, 2710, 2167, 27317, 59915, 61240]"
805,[3081]
807,"[2719, 2762]"
810,"[2713, 1339]"
812,"[8874, 593]"
815,"[593, 5502, 3826]"
817,[593]
818,[724]
819,[71535]
822,"[3535, 59727, 5679, 53953, 2232]"
825,[593]
826,[2762]
828,"[2617, 593, 2762]"
830,[1407]
833,"[8874, 71535, 6502, 7373, 56757, 2762]"
834,[593]
836,"[2762, 593]"
837,"[2617, 6502]"
840,[593]
843,"[253, 1717, 2514]"
844,"[1342, 1717]"
845,[8874]
846,"[4865, 1339]"
847,"[6323, 1215, 8874, 5502, 2762, 121231, 115122]"
851,"[273, 253]"
856,[3785]
857,"[1690, 2762, 2617]"
858,[253]
859,"[2762, 8874, 4720, 1407, 724, 3499, 5502, 2428, 4148, 6502, 6242, 6323, 33834, 53519]"
860,"[253, 593, 2617, 3081, 6323, 1241, 6502, 5219, 8225, 2841, 6615, 177, 7202, 7845, 8810, 2710, 4758, 2232, 8957]"
864,[22]
865,[5502]
866,[593]
868,"[65868, 593, 8874]"
869,[593]
871,"[8874, 56174, 31696, 104908, 3499, 71135, 53953, 4720, 97188, 62203, 54995, 6502, 1320, 94864, 80831, 2710, 103688]"
872,"[8874, 2167]"
876,"[3863, 1215]"
879,[71535]
882,"[22, 253]"
894,"[3081, 2710, 1215, 1717]"
895,[3273]
897,[5146]
900,[22]
901,"[2810, 593, 3300, 7373, 56757, 51709, 2713, 53000, 94864, 4902]"
902,"[22, 1339]"
904,"[8874, 8957, 7373, 6323, 103249, 7022, 103688, 115122, 109848, 80831, 93475, 113252, 2762]"
905,[593]
906,[56174]
907,[593]
908,[799]
909,"[6502, 1215, 593]"
910,[103249]
911,[253]
912,"[1339, 1320]"
915,[593]
919,"[103249, 93840, 7022, 42723, 27317, 71535, 42738, 7373, 1320, 2762, 91974, 8985, 31696, 53000, 3535, 3785, 3826, 2428, 6242]"
920,[22]
923,[593]
924,[72407]
