userId,movieId
2,[364]
3,"[30793, 33794, 56174, 53996, 76093, 95510, 91630, 69526, 82461, 110102, 49274, 86880, 111759, 101864, 93363, 108190, 102125, 106002, 44191, 51662, 110730, 103253, 83613, 5378, 103384, 87876, 88125, 81834]"
4,"[101864, 33794, 79132, 110102, 81564, 46972]"
5,[150]
7,"[150, 595]"
13,"[595, 54001, 82461, 81847, 79132, 56174]"
17,"[102125, 62999]"
18,[364]
19,"[103228, 3159]"
21,"[79132, 44191, 89745]"
34,[78499]
35,"[150, 89470]"
36,[150]
37,[79132]
38,"[79132, 91630]"
40,[33794]
43,"[33794, 595, 364, 44191]"
44,[86644]
45,[150]
49,[364]
50,"[79132, 89745]"
51,[150]
57,"[150, 364, 59784]"
62,"[51662, 54001, 56174]"
64,[111759]
66,[364]
69,[364]
70,"[33794, 8636]"
71,"[79132, 76093]"
75,"[595, 78499, 364]"
76,[30793]
78,"[364, 8636, 78772]"
82,[99045]
84,[44191]
91,"[105504, 104841, 5378]"
93,"[97938, 97172, 8368]"
94,[595]
95,"[8368, 81834, 44191]"
96,"[78499, 82461]"
98,"[8368, 93272, 71264, 595]"
101,"[74789, 44191, 364]"
108,"[95510, 101864, 103042, 33794, 89745, 79132, 59784]"
109,"[364, 33794, 44191]"
113,[79132]
114,[62999]
117,[104312]
119,"[33794, 91630, 103339]"
122,[595]
125,[150]
128,"[89745, 77561, 33794]"
138,[51662]
140,[150]
141,[595]
142,[103228]
146,"[79132, 76093]"
148,"[78499, 44191]"
151,"[150, 44191]"
153,[110102]
154,"[79132, 97938, 94864, 87222]"
155,[8636]
156,"[595, 364]"
158,[595]
159,"[8636, 52722, 5378, 51662, 54001]"
160,[6365]
162,[364]
163,"[33794, 51662]"
164,"[33794, 8368, 44191, 49274]"
165,[364]
166,[150]
167,[595]
172,[97938]
173,[150]
175,"[150, 364]"
184,[8636]
186,"[150, 8636]"
187,"[74789, 6365, 76093, 6934, 54001, 72294, 79132, 81847, 87222, 88932, 89470, 90647, 89745, 94864, 93363, 95510, 97938, 102125, 106487, 108188, 103042]"
191,"[79132, 77561, 86332, 95510, 94777, 78105]"
192,[59784]
195,"[33794, 44191, 6934, 111759]"
199,[364]
201,[150]
203,[44191]
204,"[79132, 86644]"
208,"[77561, 111759, 68358, 104841, 110102, 86332, 103228, 44191, 102125]"
211,"[78499, 595, 364]"
216,"[6365, 6934]"
217,"[8368, 364, 8636]"
218,"[53996, 33794]"
220,"[79132, 78772]"
222,"[54001, 81834, 88125]"
224,"[6365, 364, 68358, 76093, 102445]"
226,[150]
227,"[78499, 79132, 76093, 150, 89470, 8368]"
228,"[33794, 595, 79132]"
229,"[150, 364]"
231,[364]
232,[150]
233,"[150, 33794]"
235,"[79132, 81834, 54001, 81564, 81847, 8368]"
238,[68358]
239,[364]
242,[150]
243,"[79132, 95510, 8368, 97938]"
244,[595]
248,"[111759, 103249]"
249,"[595, 364]"
250,[150]
253,"[79132, 56174, 77561]"
257,"[79132, 8368]"
258,[364]
259,[3159]
265,"[150, 595]"
267,[78499]
269,[595]
273,[44191]
275,"[8368, 104243, 76093, 110102, 56174]"
279,[8636]
283,"[79132, 104841]"
285,[150]
287,"[8636, 8368]"
289,[79132]
292,"[79132, 364, 89745]"
293,[33794]
295,"[79132, 81564]"
296,"[364, 150, 105504, 81847]"
300,"[106487, 81834]"
302,"[8368, 88125, 91535, 81834, 77561]"
303,[79132]
304,[364]
305,[81834]
311,"[150, 595]"
313,"[8636, 5378]"
315,[364]
316,[364]
318,"[44191, 49274]"
321,"[44191, 6365]"
324,"[95510, 111759, 88125, 110102]"
326,[51662]
330,[150]
335,"[79132, 53996, 78637]"
337,"[79132, 33794]"
343,[8368]
349,[89745]
355,"[81417, 102125, 104841, 94864, 103228, 364, 88125]"
357,"[97938, 105504, 111659, 103253, 90647, 79132]"
358,"[79132, 59784]"
362,"[106487, 89745, 102125]"
363,[150]
365,"[111759, 33794]"
368,"[68358, 150, 6934, 77561, 110102, 71264]"
371,"[150, 595, 364]"
373,[150]
375,"[77561, 68358]"
376,[79132]
378,"[33794, 52722]"
382,"[79132, 68358, 44191, 59784, 94864, 106002, 111364, 76093, 103042, 103249, 89745, 104841, 71264, 67408, 90249, 86332, 101864, 150, 89470, 90647]"
385,[595]
388,"[94777, 102125, 77561, 104841]"
394,"[94864, 64497]"
395,"[62081, 8368, 54001]"
399,[364]
402,"[33794, 30793, 105504, 89745, 78499, 87222, 86880, 101025, 103042, 90647, 98243]"
403,[106002]
404,[150]
406,"[364, 54001, 8368, 106002, 76093, 81847, 111759, 108190, 79132, 89745, 104243, 104312, 33794, 102445, 106072, 91974]"
408,"[51662, 44191, 53996, 56174]"
409,"[8636, 364, 8368, 595, 5378]"
411,[78499]
413,[89745]
418,[6365]
419,"[74789, 46972]"
424,"[87222, 89745]"
426,"[56174, 150, 71745]"
427,[595]
431,[5378]
437,"[3159, 364, 595]"
438,[595]
440,"[33794, 44191]"
441,[30793]
444,[79132]
445,"[79132, 88125, 90746, 8368, 96079, 6365, 51662]"
447,[364]
449,"[6934, 90647, 78499, 89745, 87222, 103335, 33794]"
450,[97938]
453,[595]
456,"[79132, 111759]"
459,[595]
460,"[102445, 97938, 86880, 103042, 103228, 103335, 91535, 87222, 90746, 78772, 85510, 104243, 85056, 103384, 94018, 91974, 98203, 102880, 96691, 101025, 111759, 8368, 46972, 51662, 104841, 103249, 110730]"
462,"[30793, 33794]"
468,[8636]
469,"[111759, 78499, 81847, 86332]"
471,"[89745, 59784, 81564, 103249, 93272, 51662, 90249]"
474,"[595, 364]"
475,"[89745, 111364, 94864, 104841, 6365]"
477,"[33794, 8965, 364, 8368]"
478,"[111759, 89745, 68358]"
481,"[79132, 81834, 54001, 88125, 68358, 76093, 111759, 103335, 30793]"
486,"[89745, 68358]"
487,[5378]
489,"[5378, 104841, 111759, 110102, 101864, 105504, 53996, 103249]"
491,[79132]
494,"[76093, 68358, 44191, 364, 51662, 46972, 53996, 90249, 89745, 105504, 106487]"
501,"[150, 595]"
503,"[79132, 97938]"
504,"[79132, 86880, 68793, 106487]"
513,"[79132, 87222]"
514,[79132]
517,"[79132, 76093]"
519,"[8636, 6365]"
521,"[74789, 364, 79132]"
527,"[44191, 54001, 82461]"
531,[3159]
533,[595]
538,"[89745, 88125]"
540,[595]
541,"[76093, 364, 77561, 87222, 102445, 102125, 111759, 111659, 110102, 106072, 6934, 8636, 54001, 59784, 44191, 78499, 62999, 71264, 81834, 89745, 67408, 95510]"
542,"[89745, 79132, 44191, 111759, 101864]"
543,"[364, 79132]"
546,"[87306, 44191]"
548,"[111759, 111659, 111364, 103228, 103042, 102445, 102125, 94864, 96079, 89745, 44191, 89470, 87306, 5882, 85056, 81417, 82461, 364, 150, 68358, 58105, 33794, 6365]"
549,[33794]
550,"[91535, 46972, 364]"
554,[77561]
555,[150]
560,"[51662, 6934]"
562,[44191]
563,[59784]
565,[150]
566,[364]
567,"[8636, 104841]"
575,"[30793, 89470]"
578,[595]
580,"[150, 595]"
581,"[5378, 364]"
583,"[79132, 104841, 106487, 5378]"
585,"[95510, 106072, 110102]"
587,[150]
589,[89745]
593,"[78499, 8368]"
594,[364]
595,[44191]
596,[79132]
597,[6365]
598,"[79132, 44191, 6365]"
605,[5378]
606,"[81834, 88125, 106002, 89745, 87222, 54001, 78499, 8368, 77561, 59784, 111659, 110102, 94777, 58105, 86880, 8636, 51662, 90249, 110730, 6934, 68793, 91630, 101025, 86644, 95105, 110553, 69526, 106072, 595, 97938, 94864, 83613, 108689, 83349]"
607,"[89745, 150, 102125, 97938, 33794, 105504, 364]"
608,"[3159, 78499, 68358, 89745]"
609,[364]
610,"[79132, 51662, 56174]"
613,[8368]
618,"[68358, 111759]"
619,"[111759, 56174, 103253, 52722, 77561, 108190, 150]"
625,[150]
626,"[6934, 32031, 44191]"
628,"[79132, 81564, 106487, 110102, 108190, 111759, 105504, 103249, 106072, 103335, 68358, 51662, 94777, 94864, 93363, 90647, 89745, 95510, 90746]"
630,"[595, 8636]"
635,[102125]
638,[595]
642,"[150, 6934, 33794]"
644,[150]
646,[364]
647,"[59784, 79132, 86880, 44191, 51662, 78499, 54001, 8368, 33794, 89745, 103384, 100163]"
648,"[8368, 105504, 56174, 97938]"
650,"[5378, 44191, 89745]"
652,[46972]
653,"[5882, 8368, 77561, 97938, 76093, 79132, 81834, 46972, 49274, 150]"
658,[79132]
664,[595]
666,"[150, 364, 595]"
669,[150]
671,[364]
674,[33794]
675,"[33794, 44191, 59784, 46972]"
676,[364]
679,[6934]
686,[595]
687,"[81834, 8368, 91630, 88125, 54001]"
688,[150]
693,"[595, 364]"
695,[595]
698,[33794]
700,"[79132, 78499, 81834]"
702,"[53996, 6365, 30793, 59784, 79132, 76093, 89745, 86332, 8368, 51662, 81834, 364, 110730, 110102]"
703,[364]
704,[104841]
705,"[81834, 54001, 81847, 95510, 150, 81564, 77561, 108190, 102445, 103042, 59784, 110553, 111759, 101864]"
709,"[150, 79132, 110102, 111759, 33794, 51662, 77561, 82461, 69526, 94777, 103253, 105504, 108190, 91535, 111659, 67408, 85510, 104243, 89745, 86332, 106072, 94018]"
712,"[111759, 79132, 76093, 86332, 104243, 595]"
713,"[68358, 106487, 111759, 104243, 94777, 77561, 86644, 95510, 106002]"
714,"[150, 595, 53996, 91630, 89745, 44191, 33794, 103253, 101864]"
722,"[6934, 8636, 33794]"
723,"[79132, 87222, 595, 32031, 94777]"
727,"[78499, 103335, 44191]"
729,[79132]
735,"[33794, 8368, 79132, 68358, 111759]"
737,[103335]
740,"[33794, 96079, 86332, 97938, 53996, 111759, 94777, 111364, 54001, 102445]"
741,"[68358, 71264, 595]"
742,[5378]
743,[44191]
744,"[79132, 90647, 103335, 76093, 62999, 95510, 364, 81834, 150]"
747,[79132]
748,"[150, 595]"
749,"[79132, 33794]"
750,[89745]
752,[150]
754,[595]
755,"[79132, 89745]"
756,[53996]
757,"[44191, 30793, 49274, 8368, 33794]"
758,[79132]
761,"[104841, 82461, 103228, 85056]"
763,"[104841, 79132, 8368, 106487, 76093]"
765,[595]
768,"[595, 44191]"
770,"[8368, 54001]"
775,[44191]
780,"[44191, 79132]"
783,"[364, 96079]"
786,[150]
788,[96079]
791,"[81834, 8368, 59784, 81564, 51662]"
792,[5378]
793,[5378]
795,"[8636, 5378, 68358, 59784, 79132]"
796,[595]
797,"[595, 33794]"
798,"[91630, 104841, 68358, 102445, 96079, 88125]"
800,[79132]
801,"[33794, 88125, 81834, 54001, 111759]"
804,[89745]
805,[364]
810,[364]
814,[91630]
815,"[64497, 595, 81847, 79132, 102125, 62999, 105504]"
819,"[44191, 51662]"
821,[364]
822,"[44191, 79132]"
824,"[79132, 44191]"
826,"[595, 71745]"
828,[150]
829,[6365]
833,"[59784, 103228, 150]"
834,"[150, 364]"
837,"[5378, 6934]"
842,"[150, 595]"
847,"[71745, 78499, 110127]"
848,"[46972, 91535]"
856,"[89745, 8636]"
857,"[6365, 364, 8368, 6934, 44191, 33794]"
858,"[8368, 595, 33794]"
859,"[8636, 6934, 364, 44191, 79132]"
862,[79132]
864,"[595, 364]"
866,[150]
868,[106487]
871,"[102445, 33794, 56174, 89470, 108945, 106002, 104841, 103253, 89745, 6365, 94864, 91535]"
872,"[8636, 51662, 364]"
874,[89745]
875,[150]
876,"[51662, 30793]"
877,"[150, 8368]"
879,[74789]
887,"[44191, 6934]"
890,"[364, 150]"
891,[78499]
892,[150]
896,"[89745, 81847, 103335]"
898,[81847]
901,"[81847, 68358, 44191, 8368, 78499, 77561, 96079, 8965, 89745, 106487, 88125, 102445, 103253, 55995, 95510, 94864, 51662, 3159, 30793, 103228]"
902,[30793]
903,[5378]
904,"[81834, 76093, 77561, 102125, 103249, 101864, 87306, 91535, 68358, 88125, 150]"
905,[595]
906,"[105504, 104841, 98243, 94777, 76093, 90746, 101864, 81834, 89745, 54001, 68358, 102125, 56174, 108190, 93363, 6365, 78499]"
910,"[78499, 86332, 103249, 78105, 68358, 102445, 111759, 6934, 8636]"
911,[150]
912,"[33794, 77561, 8636, 5378]"
913,[106487]
919,"[103249, 364, 33794, 67408, 102445, 96079, 54001, 91974, 82461, 104243, 110102, 6934]"
924,"[52722, 54001, 88125, 86644, 108190]"
928,"[79132, 6934]"
935,"[68358, 364, 59784, 89745]"
939,"[595, 364, 3159, 6365, 6934, 30793, 53996, 89745]"
941,"[76093, 81847]"
943,"[79132, 89745, 88125]"
944,"[79132, 104243, 106002]"
946,[79132]
947,"[33794, 364, 8636, 44191, 51662, 52722, 6934, 76093, 78499, 79132, 89470]"
948,[150]
952,"[102125, 33794, 76093]"
955,[78499]
956,"[33794, 59784]"
957,[150]
960,[6365]
962,"[64497, 51662, 52722]"
964,"[595, 364, 150]"
967,"[96079, 91535, 56174, 106487, 53996, 87306, 103253, 32031, 69526, 106072]"
968,[51662]
973,[33794]
974,[364]
976,"[150, 595]"
977,[77561]
981,"[8368, 8636]"
982,"[150, 595, 364]"
983,"[44191, 59784, 79132, 89470, 90746, 102125, 103228, 78499, 91535]"
987,[364]
988,"[111759, 79132, 6365, 44191]"
990,"[79132, 33794]"
993,[51662]
994,[364]
997,"[56174, 96079, 87306, 105504, 150, 111759, 89745, 364, 5378, 110102, 86332, 106487, 87222, 91535, 104243, 86644, 102880, 81417]"
999,[150]
1001,[595]
1004,[33794]
1006,[79132]
1008,"[78499, 81847]"
1010,"[88125, 87306]"
1011,"[103042, 8965, 111659, 104312, 33794, 76093, 103335, 85510, 110553, 108190, 88125]"
1013,[150]
