userId,movieId
2,[364]
3,[40819]
4,[49396]
7,"[588, 595]"
9,[588]
12,"[4308, 8360, 3060]"
13,"[595, 81847]"
15,[2700]
18,[364]
19,"[3159, 27800]"
21,[79702]
23,[2677]
32,[588]
36,[588]
38,"[37729, 53123]"
39,[3060]
43,"[595, 364]"
49,"[588, 364]"
57,"[2700, 40819, 364, 6863, 8360, 56152, 56757]"
59,[588]
61,"[1907, 551]"
62,[33725]
66,"[588, 364]"
68,[46098]
69,[364]
75,"[595, 60397, 364]"
76,[551]
77,[551]
78,"[364, 4308]"
82,[6296]
84,[37729]
91,[40819]
93,[79702]
94,"[588, 595]"
97,[48]
98,"[46062, 93272, 588, 595, 106696]"
101,[364]
107,"[3910, 2677, 45028]"
109,[364]
117,[1907]
119,[30816]
120,"[3060, 588, 3594]"
122,[595]
125,"[107, 588, 6296]"
133,[588]
141,"[595, 477, 661, 783, 631]"
142,[40819]
143,[661]
156,"[588, 595, 364, 1688]"
158,"[588, 595]"
159,"[55872, 4308, 8360, 56152]"
160,[588]
162,"[661, 364]"
164,[6863]
165,[364]
166,[3060]
167,"[661, 588, 595, 477]"
169,"[6296, 53123, 49824, 54190, 56152]"
171,"[2700, 2677, 2083]"
173,[588]
175,"[364, 477]"
184,"[6863, 4308]"
186,"[588, 8360]"
187,"[2142, 2700, 6863, 79702, 81847]"
190,"[1688, 588]"
195,[79702]
199,"[588, 364]"
206,[588]
211,"[48, 595, 364]"
215,[551]
216,"[1907, 2700]"
217,"[588, 364, 551, 1907]"
221,[551]
223,[2700]
224,[364]
225,[2083]
226,"[6296, 2700, 551]"
227,[588]
228,[595]
229,[364]
231,[364]
235,[81847]
236,[48]
239,[364]
242,"[588, 30816]"
244,[595]
249,"[595, 364]"
251,[6296]
254,[661]
257,[551]
258,[364]
259,[3159]
262,[588]
265,[595]
269,[595]
279,[2700]
280,"[588, 549]"
284,[37729]
287,"[588, 53123, 1907]"
292,[364]
295,[588]
296,"[106696, 4308, 364, 81847]"
297,"[661, 1057]"
304,[364]
305,[106696]
306,[588]
308,[53123]
309,[783]
311,[595]
315,[364]
316,[364]
317,[8360]
318,"[2700, 45028, 40946]"
321,[588]
323,"[551, 8360]"
338,[588]
339,[96588]
342,[1057]
343,[8360]
345,[4642]
347,"[68932, 8360]"
352,[588]
355,"[6863, 588, 364]"
357,[1907]
358,"[1907, 1566]"
360,[631]
361,[27857]
364,"[5508, 6296]"
366,[588]
368,[79702]
370,"[2700, 551]"
371,"[595, 364]"
374,"[631, 551, 783]"
382,[8360]
385,[595]
395,[8360]
399,"[364, 8360]"
402,"[107, 56757, 8360, 588, 48, 91094, 96849]"
406,"[364, 81847]"
408,[4308]
409,"[364, 595]"
411,"[107, 1772]"
417,"[2700, 549]"
422,[783]
426,[40819]
427,"[588, 595, 107]"
437,"[3159, 364, 588, 595]"
438,"[588, 595]"
439,[79702]
440,"[54190, 551, 4308]"
441,"[588, 32019, 31694]"
446,[588]
447,[364]
451,[1772]
453,[595]
459,"[588, 595, 1487]"
460,[96588]
462,"[588, 4308]"
469,"[37729, 81847, 1907, 5991]"
471,[93272]
472,[1057]
473,[2700]
474,"[588, 595, 364, 48]"
477,[364]
488,[588]
493,[2700]
494,"[1907, 364, 588, 6863]"
496,"[1772, 53123]"
499,[551]
501,[595]
513,[106696]
519,"[783, 107]"
521,"[364, 8360]"
531,"[3159, 588, 2142]"
533,[595]
535,[477]
537,[551]
540,"[595, 783]"
541,"[588, 364, 1907, 2700, 56152]"
543,[364]
544,"[53123, 1907]"
548,"[68932, 783, 364, 5508]"
550,"[37729, 364]"
551,"[8360, 6863]"
560,[8360]
561,[551]
563,[37729]
566,"[364, 661, 4308]"
567,[588]
572,"[783, 6296]"
575,"[48, 52975]"
578,[595]
580,"[588, 595]"
581,"[8360, 364]"
584,[4757]
586,[3594]
594,"[588, 364]"
597,"[4308, 1907, 783, 551]"
599,[1907]
606,"[96588, 79702, 6863, 1907, 595, 2700]"
607,[364]
608,"[3159, 4308, 27800]"
609,[364]
610,[2700]
611,[2083]
613,[32019]
623,"[661, 107]"
624,[477]
626,"[2084, 31694]"
628,"[56757, 106696, 6863]"
630,"[3594, 1688, 2084, 595]"
632,"[588, 4308]"
636,[588]
638,"[588, 595]"
646,[364]
647,[783]
648,"[5991, 60397]"
649,[4308]
650,[4308]
653,"[2394, 2083, 242, 8360, 56152]"
655,[588]
658,[1487]
660,[661]
664,[595]
666,"[364, 588, 595, 551]"
669,[1416]
671,"[364, 869]"
672,[2700]
674,[54190]
676,[364]
686,[595]
689,[551]
693,"[595, 364]"
694,[551]
695,"[595, 107, 551]"
698,[79702]
701,[5508]
702,"[364, 5991]"
703,[364]
705,"[81847, 1907]"
707,[1907]
709,"[588, 1566]"
712,"[30816, 1566, 1907, 595, 2394]"
714,"[595, 5991]"
716,[8360]
722,"[7259, 551]"
723,[595]
726,[661]
727,[8360]
728,[661]
733,[1907]
734,"[2700, 3060]"
741,"[3060, 40819, 53123, 4308, 5991, 70643, 88835, 595]"
742,[8360]
744,[364]
745,[3910]
748,[595]
749,[588]
751,"[4642, 2700]"
754,[595]
757,"[27563, 53123, 5508]"
763,[5991]
765,[595]
766,[242]
767,"[588, 551]"
768,"[595, 588]"
774,[79702]
775,"[79702, 1907]"
779,[588]
783,[364]
786,[106696]
793,[661]
795,"[8360, 588, 66915]"
796,[595]
797,"[595, 79702, 72737, 4308]"
798,[53123]
799,[6863]
800,[1907]
801,"[40819, 53123, 2700]"
803,"[8360, 59590]"
805,"[588, 364, 551, 1688, 48, 2142]"
810,[364]
815,"[8360, 595, 81847, 106696]"
818,[631]
821,"[588, 364]"
826,"[595, 60397]"
829,[6863]
831,[661]
833,"[56757, 56152]"
834,[364]
835,[551]
836,"[3060, 1566]"
837,"[588, 40819]"
842,"[588, 595]"
845,[588]
846,[2700]
847,"[588, 2394, 45028, 53123, 67429, 100538]"
848,"[30816, 106696]"
857,"[364, 4308]"
858,"[2142, 4642, 1416, 595, 588, 2700]"
859,"[8360, 2677, 364]"
860,[1566]
864,"[595, 364]"
868,[65868]
872,"[364, 6863, 2700, 551]"
875,[8360]
876,"[5991, 551, 588]"
890,[364]
891,"[661, 40819]"
892,"[588, 551]"
896,"[3594, 588, 96588, 81847]"
897,[551]
898,"[81847, 1907]"
899,[3910]
900,[477]
901,"[81847, 6863, 56757, 49396, 1566, 3159]"
902,[37729]
903,[6863]
904,"[4308, 6863, 5991, 106696, 96588, 60397, 588]"
905,[595]
906,[106696]
908,[588]
909,[588]
910,[4308]
912,[106696]
913,[96588]
919,"[364, 588]"
922,[2700]
924,"[40819, 30816]"
925,"[588, 551]"
927,"[2394, 2700, 551, 3910]"
935,"[106696, 79702, 551, 364]"
938,"[477, 1487, 588]"
939,"[595, 588, 364, 2394, 107, 1057, 1688, 3159, 5991, 1881, 8360, 52975]"
941,[81847]
944,[79702]
947,"[364, 783]"
948,[4308]
952,[40819]
956,[588]
961,"[1057, 4926]"
964,"[595, 364, 551, 829]"
968,"[4308, 2700]"
969,[107]
974,[364]
976,[595]
982,"[595, 364]"
983,[91094]
986,[783]
987,"[364, 8360]"
993,"[4642, 53123]"
994,[364]
995,[2700]
997,"[79702, 364, 2700]"
999,[4308]
1000,"[3910, 4308]"
1001,"[8360, 595]"
1008,[81847]
1011,"[72737, 106696, 48, 37729]"
1014,[82591]
1017,[53123]
1019,"[1907, 364]"
1020,[8360]
1021,[8360]
1022,"[595, 364]"
1025,[2677]
1027,[1057]
1030,[5991]
1031,[2083]
1038,"[3910, 3159, 661, 40819]"
1041,[2700]
1042,[364]
1044,[588]
1048,"[27857, 55901]"
1049,"[595, 1907, 783]"
1051,[40819]
1054,[3060]
1060,"[364, 588]"
1062,[5508]
1068,[588]
1071,"[2700, 1907]"
1077,[48]
1078,[2700]
1079,[661]
1084,[595]
1089,[4308]
1096,"[1907, 588, 364]"
1101,"[364, 551]"
1103,[3060]
1107,"[3910, 6296, 40819]"
1112,[1688]
1118,[364]
1121,"[4308, 551]"
1124,[364]
1125,[588]
1126,[364]
1127,[3060]
1133,[2700]
1136,[1416]
1140,"[783, 588]"
1146,[2677]
1150,"[595, 2700, 1487, 551, 588, 364, 1688, 1416]"
1159,[6296]
1163,"[1416, 588, 8360]"
1167,"[8360, 79702, 2700]"
1168,[2700]
1169,"[595, 588]"
1171,[588]
1173,[2700]
1177,[364]
1178,[4308]
1180,"[588, 595]"
1184,"[364, 1416]"
1192,"[79702, 6863]"
1193,[1057]
1196,"[588, 595]"
1197,[2677]
1198,[595]
1200,"[364, 1907]"
1201,[5613]
1203,"[588, 5941, 595]"
1205,[595]
1208,"[8360, 588]"
1209,[6648]
1220,"[2700, 3910]"
1224,[79702]
1228,"[79702, 107]"
1229,[588]
1232,"[6863, 364, 55872, 112316]"
1240,[588]
1241,[81847]
1242,"[661, 8360, 551]"
1246,[364]
1247,"[588, 595, 364, 48, 107]"
1254,"[8360, 4308]"
1261,[661]
1262,"[107, 51372]"
1273,"[551, 364]"
1282,[588]
1286,[588]
1288,[8360]
1289,[8360]
1290,[5991]
1294,[40819]
1297,[595]
1298,"[588, 364]"
1301,"[588, 4308]"
1305,"[1907, 364, 5991, 595]"
1307,[37729]
1311,[2394]
1315,"[3159, 54190, 631, 55872]"
1316,[58379]
1319,[3910]
1328,"[595, 79702, 588]"
1330,"[1566, 93272]"
1336,"[3594, 364]"
1337,[96588]
1349,[2394]
1352,[8360]
1355,[551]
1358,"[30816, 56757]"
1367,[2677]
1376,"[79702, 6863, 46062]"
1382,[588]
1383,"[6696, 5508]"
1386,[588]
1390,"[37729, 96588, 30816, 588, 8360, 551, 81847, 52975, 113103, 90343, 70334]"
1391,"[595, 364, 551]"
1392,"[588, 595, 48, 783]"
1397,"[588, 364]"
1401,"[364, 2700, 56805]"
1402,"[588, 661, 4642]"
1405,"[829, 3060, 588]"
1409,"[40819, 595]"
1411,[595]
1416,[551]
1418,[2700]
1421,[364]
1422,[588]
1424,[67665]
1425,"[242, 595]"
1428,[6863]
1436,[588]
1437,[588]
1438,[364]
1441,[588]
1446,[595]
1448,"[661, 551, 1416]"
1450,"[588, 364]"
1452,"[2677, 595, 588]"
1453,[8360]
1456,[40819]
1460,[3910]
1463,"[81847, 4308, 37729]"
1467,"[588, 364]"
1470,"[3060, 588, 5991]"
1472,[364]
1474,"[53123, 56757]"
1475,[6863]
1476,[588]
1477,"[26925, 27563, 106696, 112316]"
1478,[2700]
1480,"[6296, 67665]"
1486,[2700]
1494,[364]
1498,[551]
1503,"[37729, 1907, 364, 106696, 595]"
1507,[79702]
1520,[93272]
1521,[107]
1522,[81847]
1526,"[3910, 4308, 595, 2700]"
1527,"[595, 2083, 1907]"
1530,[3159]
1533,[33725]
1535,[595]
1541,"[60397, 2394, 30816]"
1543,[52975]
1552,"[4308, 40819]"
1553,[595]
1558,[595]
1560,"[1907, 364]"
1561,"[588, 8360, 364]"
1566,[2700]
1567,"[8360, 595, 364]"
1573,[2700]
1576,[33688]
1577,[1772]
1579,[588]
1582,[631]
1583,"[27857, 60397, 49824, 72737, 4308, 30816, 79702]"
1585,"[364, 595, 551, 1566, 40819, 106696, 2083]"
1588,[67429]
1590,[595]
1592,"[8360, 6296]"
1593,[83264]
1597,[364]
1598,"[1566, 96588, 56152]"
1604,[8360]
1606,[6863]
1609,"[2700, 588, 91094]"
1610,[1566]
1611,[79702]
1612,"[364, 595, 53123]"
1613,[588]
1616,[52579]
1618,"[37729, 1688, 56757, 81847]"
1619,"[2700, 8360, 3159]"
1621,[6863]
1626,"[5991, 2700, 4308]"
1628,[37729]
1629,[107]
1630,[549]
1634,[588]
1639,"[48, 595, 6863, 1907, 79702, 120132, 81847]"
1642,[588]
1644,[37729]
1647,[53123]
1650,[79702]
1652,"[81847, 106696, 72737, 60397, 56757, 37729, 96588]"
1657,[364]
1658,[48]
1661,[551]
1666,"[40819, 588, 49824]"
1667,[2677]
1672,[588]
1674,[2700]
1676,[364]
1677,[2700]
1678,[1907]
1679,[661]
1680,[2700]
1684,[4308]
1688,"[588, 364]"
1691,"[4308, 56757]"
1693,[588]
1695,"[551, 2700]"
1696,[106696]
1697,"[588, 364]"
1704,"[4642, 364, 5991]"
1709,[364]
1710,"[1416, 364]"
1711,"[8360, 96588, 60397, 73042, 588]"
1714,[783]
1718,[48]
1721,[81847]
1722,"[2677, 364, 4308]"
1731,"[588, 1688]"
1732,"[588, 364, 48, 242]"
1735,[81847]
1743,"[588, 364]"
1745,[87004]
1748,"[4308, 6863, 595, 8360, 1416, 95307, 27321]"
1757,"[364, 48]"
1758,"[551, 595, 56805]"
1760,[364]
1762,[364]
1764,[2700]
1766,[595]
1770,"[8360, 1907]"
1772,[588]
1777,"[81847, 1566, 364, 48, 8360, 551, 72737]"
1778,"[40819, 588, 106696, 783]"
1789,[1416]
1795,[2700]
1800,"[56757, 54190]"
1801,[107]
1806,"[364, 8360]"
1814,[588]
1822,"[79702, 1907, 5991, 1688, 56757, 2394, 8360]"
1825,[3060]
1828,"[588, 81847]"
1829,"[588, 2142]"
1831,"[2700, 595, 6863, 8360, 40819, 551, 56805, 72737]"
1832,"[661, 1566]"
1833,"[2700, 8360, 1907, 5991, 3159]"
1837,[6863]
1839,[549]
1840,"[661, 595, 588, 364]"
1842,"[588, 8360, 364]"
1856,[588]
1857,[2700]
1858,"[588, 595, 1907]"
1863,[364]
1866,[3910]
1867,[595]
1869,[56757]
1871,[551]
1880,[551]
1881,"[107, 595]"
1883,"[52975, 96588, 40946]"
1885,"[56757, 52975]"
1889,[551]
1890,[588]
1891,"[364, 8360]"
1894,"[3159, 2394, 364, 661, 595, 4642]"
1899,[8360]
1905,[6863]
1907,"[37729, 595]"
1908,"[477, 588]"
1911,"[6863, 2700]"
1913,"[83264, 4308, 81847, 588]"
1915,"[3910, 81847]"
1916,"[364, 81847, 4308, 588, 551, 1907, 37729]"
1920,"[364, 551, 37729, 106696, 49824]"
1922,"[364, 595]"
1925,[364]
1932,"[8360, 4308]"
1935,[364]
1936,[81847]
1938,"[595, 364, 2700, 48]"
1939,[364]
1946,"[364, 595, 5991]"
1950,"[4308, 3060]"
1953,[1688]
1956,[2700]
1959,"[661, 2394, 364]"
1962,[588]
1965,"[79702, 1907]"
1967,[4308]
1968,[364]
1973,[56757]
1974,"[79702, 56757, 2700]"
1975,"[2700, 8360, 40819]"
1977,"[364, 5991, 595, 551, 8360, 49824, 56757, 2083, 106696, 118997]"
1978,[588]
1982,[588]
1983,"[588, 364]"
1985,"[588, 595]"
1988,[40819]
1989,"[551, 364, 8360]"
1991,[6296]
1992,[2677]
1995,"[8360, 595, 588, 364]"
1997,"[30816, 54190]"
2003,"[100538, 364]"
2004,[37729]
2006,"[5941, 81847]"
2008,[30816]
2012,"[4642, 40819]"
2013,[79702]
2021,[81847]
2022,[2394]
2025,"[8360, 588]"
2031,"[8360, 2700, 6863]"
2032,"[2700, 551, 40819, 55872, 59590, 81847]"
2035,"[364, 595]"
2042,[4308]
2048,"[551, 2700]"
2049,[364]
2054,"[4308, 6863, 5613]"
2058,"[551, 37729, 1772, 3159, 30816, 364, 32019]"
2060,[53123]
2061,"[4308, 5991]"
2067,"[364, 595]"
2073,[588]
2080,"[3060, 595]"
2082,"[783, 595, 477]"
2084,[81847]
2090,"[551, 37729]"
2091,"[595, 551]"
2092,[4642]
2098,"[588, 595, 364, 8360, 6863, 40819]"
2104,[1907]
2111,"[595, 4308, 5991]"
2121,[551]
2128,[79702]
2134,[588]
2140,[364]
2141,[56757]
2145,[551]
2146,[588]
2149,[588]
2150,"[4308, 2700]"
2151,"[2700, 551]"
2153,"[40819, 364, 4308]"
2154,[53123]
2155,[588]
2157,[2394]
2158,"[595, 1907, 8360]"
2160,"[588, 595]"
2161,[595]
2164,"[48, 56152]"
2165,"[551, 54190, 37729, 1688, 40819, 1907, 96588, 79987, 98373, 81847]"
2167,[81847]
2172,[364]
2176,[364]
2177,"[346, 242, 477, 1487, 3425, 4308, 6296, 8535, 26782, 7374, 56152, 6863]"
2179,[106696]
2181,"[1487, 1566, 1688]"
2191,[1057]
2194,"[8360, 106696, 93272]"
2204,[40819]
2210,"[93272, 5991]"
2214,"[595, 364]"
2218,[2677]
2219,[1566]
2222,"[2700, 588]"
2228,"[588, 595]"
2230,[1566]
2231,[5991]
2233,[2394]
2236,"[588, 40819]"
2238,"[1907, 37729, 8360]"
2246,"[588, 595]"
2247,"[364, 551]"
2250,"[588, 364]"
2254,[5820]
2258,[40819]
2260,"[364, 551]"
2263,"[588, 595]"
2266,[2700]
2269,[40819]
2270,[79702]
2271,[40819]
2273,"[81847, 1566]"
2277,"[56757, 551, 6863]"
2278,"[54190, 1688, 55872]"
2284,[595]
2287,"[4308, 588, 364, 1907, 2142, 631]"
2291,[551]
2292,[588]
2294,"[364, 595]"
2296,"[588, 595]"
2297,"[588, 53123]"
2298,"[588, 4308]"
2308,"[56757, 53123]"
2314,"[106696, 81847]"
2315,[551]
2317,"[595, 364, 2700]"
2324,[3910]
2326,[588]
2332,"[551, 1907, 115558, 2394, 1688]"
2333,[30816]
2334,[595]
2335,"[588, 661]"
2337,[4308]
2339,[551]
2341,"[106696, 79702, 8360, 40826, 54190]"
2344,"[3060, 2394]"
2345,"[364, 588, 96588, 91094]"
2349,[595]
2358,"[588, 107, 364, 2083]"
2359,[79702]
2360,"[2677, 5991, 56152, 106696]"
2362,"[2084, 3159, 1416]"
2363,[364]
2373,"[3910, 364]"
2376,[588]
2377,"[2700, 6296]"
2389,"[67665, 2700, 595, 551, 40819, 6863]"
2393,[588]
