userId,movieId
1,[6954]
2,"[5445, 5418]"
3,"[3535, 4874, 5388, 91542, 7347, 63062, 52604, 50, 32, 4975, 1089, 114180, 6870, 88125]"
4,"[79132, 48780, 73017]"
5,"[32, 50, 350, 47]"
8,"[47, 1407, 198, 628]"
9,"[350, 1092]"
10,"[32, 50]"
12,"[1617, 36276, 29, 68237]"
13,"[32587, 48780, 5418, 70286, 47, 27904, 51255, 79132, 8957, 44665]"
18,[2762]
19,"[51255, 123]"
21,"[79132, 5418, 27773, 74458]"
23,"[800, 3044, 2803, 1092]"
25,[47]
26,[32]
28,"[1464, 32, 3081]"
30,[2803]
31,"[6954, 5418, 51255]"
32,[47]
33,[50]
36,[314]
37,"[50, 79132, 47, 32, 32587]"
38,"[1909, 79132, 50, 1089, 47, 4720, 6870, 45447, 91542]"
40,"[2762, 4226, 1089, 38061]"
41,"[3081, 2505, 2763, 517]"
42,"[1089, 47]"
43,"[4226, 50, 32, 47, 32587, 5418]"
44,"[68237, 91542]"
45,[800]
46,"[5418, 1617]"
47,[800]
48,"[648, 47]"
50,"[79132, 32587]"
51,[4226]
52,[48780]
55,[2686]
56,[2762]
57,"[27773, 32, 5445, 8957, 33171, 44761, 47, 27904, 64575]"
58,[800]
59,"[5445, 50, 350]"
61,"[50, 1372, 1620]"
62,[45447]
69,"[1625, 4226, 2762, 47]"
70,"[2686, 32, 1089]"
71,"[79132, 50]"
72,"[1617, 1845, 50]"
75,"[50, 2762]"
76,"[4878, 73017, 1089]"
79,"[47, 50]"
80,"[1645, 2058, 32]"
81,[2505]
83,[22]
84,"[1464, 8783, 32, 74458, 112421]"
85,[314]
86,[1089]
87,[4878]
89,"[3176, 1645]"
91,"[48780, 74458, 6870, 90866, 55290]"
92,"[5445, 50, 1625]"
93,"[2762, 5419]"
95,"[4226, 1089, 4878, 8950, 70286, 51255, 74458, 68237]"
96,[4878]
97,"[22, 6323, 5445]"
98,[90866]
100,[800]
101,"[48780, 74458]"
105,[628]
106,[314]
107,"[4226, 32, 6870, 44761]"
108,"[79132, 50]"
109,"[4226, 50, 1617, 1089, 71033, 1625, 4878]"
110,[71033]
112,[50]
113,"[44665, 4226, 79132]"
114,[48780]
116,[3113]
119,[5418]
120,"[2763, 2762, 492, 1625, 1089, 3044, 2058, 3273, 648, 1092, 1422, 1805, 3798]"
124,"[32, 29]"
125,[50]
127,[4226]
128,[51255]
130,"[1717, 103]"
132,"[1617, 3219, 2762, 47, 3798]"
133,"[50, 32]"
137,"[1625, 1805, 2763]"
139,"[32, 50, 159, 4226]"
142,[1617]
143,[32]
144,[314]
