userId,movieId
2,"[151, 1873, 30749]"
3,"[116797, 50068, 51662, 4958, 65514]"
4,[6947]
5,"[340, 356]"
8,[161]
12,"[2324, 5541, 5876, 356, 47894, 30749, 55052]"
13,[1616]
16,[5995]
19,"[61236, 356, 86973]"
20,"[6263, 356]"
21,[88140]
23,"[2890, 161, 466]"
25,[151]
29,[64034]
32,"[161, 356]"
33,[2324]
35,[356]
36,[647]
38,"[2324, 5010, 4223, 87232, 33162]"
40,"[30749, 50068]"
41,[1408]
43,"[161, 4967, 2890]"
45,[647]
46,[356]
50,[49530]
56,[356]
57,[356]
59,[1507]
61,[1408]
62,"[30749, 27869, 5995, 51662, 49530, 4967, 356, 5152, 4223, 5010]"
65,"[87232, 114662]"
70,[30749]
71,[356]
72,[151]
75,"[49530, 4727]"
78,[356]
80,[356]
82,"[356, 56788, 2324, 31702]"
84,[69481]
86,[356]
88,[1616]
89,[266]
91,"[98154, 43376, 115210, 116797]"
94,[356]
95,[356]
96,[93297]
99,[356]
101,"[2324, 5995]"
109,[30749]
110,[2324]
118,[356]
119,"[115210, 91126, 56788]"
120,"[3555, 2324, 1873, 155, 161, 1616, 3117]"
122,[356]
126,[2324]
127,[116797]
131,"[1408, 8493]"
132,"[356, 4223, 5010, 5152]"
134,"[266, 2324]"
138,[51662]
139,[266]
140,[161]
141,[161]
142,[69481]
143,[647]
148,[356]
151,[87232]
152,[3555]
153,[116797]
155,[40278]
159,[51662]
163,[51662]
164,[30749]
166,"[356, 266]"
167,[356]
169,"[356, 2106]"
171,"[2890, 1408, 7156, 5876, 8493, 4727, 30749, 4223]"
174,[98154]
175,[4033]
178,[356]
180,[115210]
185,[356]
187,"[356, 72605, 4958, 30749, 5010, 61132, 40278, 36529, 87232, 88140, 108928]"
189,[41]
193,[5876]
196,[7156]
199,[356]
200,[356]
201,"[2324, 3555]"
206,[356]
207,"[3555, 33162, 49530, 53550, 57528]"
213,[266]
215,[356]
216,"[2324, 2890, 1616, 5010]"
217,"[1408, 760, 356, 151, 4223]"
219,"[356, 1873]"
221,[356]
222,[356]
225,[1616]
226,"[5010, 356]"
227,"[356, 1408, 161, 49530]"
228,"[72605, 356, 40278]"
229,"[161, 647]"
230,"[647, 161]"
235,[87232]
236,"[356, 266]"
237,[151]
239,[356]
240,[1408]
242,[1408]
243,[61132]
247,"[2324, 4958]"
248,[356]
249,[266]
251,"[2890, 36529]"
252,[356]
253,"[88140, 356]"
256,"[356, 1619, 2890, 3555]"
258,[266]
261,[356]
265,"[356, 266]"
267,"[1408, 2324, 5995]"
271,[5995]
276,[3555]
278,[356]
280,[356]
284,"[61236, 36529]"
285,"[161, 647, 151, 1619, 3117]"
287,[356]
289,[116797]
290,"[356, 2324]"
294,"[61132, 114662, 5995]"
296,"[56788, 98154]"
302,[4223]
304,"[356, 161, 2324]"
307,[1619]
309,"[356, 161]"
311,[161]
314,[356]
315,[356]
317,[5995]
318,"[30749, 2324, 2890]"
321,"[69481, 98154]"
322,"[647, 5152]"
323,[6542]
326,"[356, 51662]"
328,[266]
329,[266]
330,[356]
335,[356]
342,[214]
345,"[3555, 7025]"
352,"[356, 161]"
354,[356]
355,[61132]
357,[760]
361,"[356, 40414]"
364,[5995]
366,[41]
371,[356]
373,[356]
374,[356]
376,[115210]
379,[5152]
382,[36529]
386,[356]
388,[116797]
395,"[356, 64034]"
397,[356]
398,"[161, 155]"
399,[5995]
402,"[77866, 88140, 98154]"
404,[161]
406,"[87232, 88140]"
407,[647]
408,[51662]
410,"[356, 7156]"
413,"[356, 116797]"
414,[41]
416,[356]
418,[3555]
420,[1408]
422,[647]
426,"[356, 115210]"
427,[151]
430,[356]
435,[2324]
436,[356]
440,"[5995, 61132]"
441,[5010]
444,[356]
445,"[2324, 356, 51662]"
446,[356]
447,[214]
449,[356]
450,"[91126, 64983, 81158, 33162]"
451,[2324]
455,"[356, 161, 266]"
459,[266]
460,"[74795, 36529, 40278, 69481, 51662, 77866]"
462,"[4223, 161, 266, 1619, 40278]"
468,[356]
469,[356]
471,[51662]
472,[157]
477,"[5995, 3555, 4958, 1616]"
481,"[356, 116797, 64983]"
482,[356]
485,"[106441, 114662]"
489,"[78445, 2324, 116797, 5995, 69481, 106441]"
490,[161]
491,[30749]
494,"[4223, 51662, 64983, 88140, 5152]"
498,[356]
504,[87232]
512,[356]
514,"[356, 4223, 2324]"
519,"[356, 161, 2324, 6947, 4223, 5152, 5107]"
521,"[69481, 49530, 65514, 1408]"
523,"[214, 2890, 356]"
526,"[266, 466]"
532,[266]
535,[2324]
538,[356]
539,"[161, 266]"
540,[356]
541,"[63001, 83450, 5995, 115210, 33124, 83448, 55052]"
544,[356]
548,"[116797, 72178, 58306, 2322, 5420, 66015, 87232, 466, 72479, 266, 82765, 69481, 72605, 4223, 161, 65514, 5107, 4958, 61026, 3555, 68486, 6567, 48319, 8640, 49530, 50068, 53550]"
550,"[2324, 36529, 5541]"
551,[356]
552,[5995]
555,[647]
556,"[356, 5995]"
558,[36529]
560,[51662]
561,"[2890, 356]"
562,"[356, 2324, 5995]"
566,[356]
567,"[1408, 30749, 4902, 356, 266, 36529, 5425, 6567, 4033]"
570,[151]
571,[49530]
572,"[466, 4033, 6947]"
578,[266]
579,"[1619, 49530]"
580,"[266, 356]"
581,"[356, 8493]"
584,[5010]
585,[88140]
587,"[3555, 4958, 5420]"
588,[2324]
589,"[356, 2324, 64034]"
592,[1445]
595,[356]
598,"[69481, 61132]"
