userId,movieId
3,"[54997, 83613, 103384]"
8,[163]
13,"[54997, 82459, 84944, 6950]"
20,[1266]
23,[800]
24,[3624]
40,[1266]
41,[1408]
45,[800]
47,[800]
58,"[163, 800, 1266]"
61,[1408]
62,"[54997, 39381]"
72,[2328]
75,[1266]
89,[266]
100,[800]
107,"[3267, 1266]"
120,[1266]
127,[54997]
131,"[553, 1408]"
132,[553]
133,[163]
134,[266]
138,[54997]
139,"[3267, 266]"
142,[82459]
155,"[368, 4321]"
166,"[266, 800]"
171,"[368, 1408, 3267, 163, 3624]"
175,[4321]
177,[368]
183,[553]
187,"[2142, 82459, 83374]"
199,[163]
201,[1266]
213,[266]
217,"[1408, 1266, 4321]"
227,[1408]
228,"[39381, 1266]"
236,[266]
240,"[2701, 1408]"
242,[1408]
249,[266]
255,[1266]
258,"[266, 368]"
265,"[368, 266]"
267,"[1408, 1266]"
268,[368]
279,[4321]
307,[163]
308,[82459]
321,"[82459, 39381, 1266]"
322,"[1379, 3624]"
328,[266]
329,[266]
343,[1266]
370,[487]
371,[163]
382,[84944]
388,[39435]
396,"[163, 1266]"
398,[553]
408,"[4321, 1266]"
414,[714]
417,[800]
420,"[1266, 1408]"
426,[82459]
437,"[1266, 4321]"
450,[61986]
455,"[266, 432, 553]"
459,[266]
460,"[82459, 103384]"
462,"[163, 4321, 368, 266]"
469,[84944]
477,[3624]
514,[82459]
519,"[553, 1266, 6617]"
521,[1408]
526,[266]
531,[2142]
532,"[303, 266]"
539,"[416, 266]"
541,[368]
548,"[77818, 61289, 54997, 61986, 266, 66785, 303, 1266]"
551,[3267]
554,[1266]
564,[553]
565,[163]
567,"[1408, 266]"
578,[266]
580,"[266, 553]"
581,[1266]
594,[368]
606,"[111743, 3624, 163, 39435, 83613, 2701]"
608,[266]
619,[82459]
632,[3624]
641,"[1266, 163]"
642,"[553, 1408]"
647,[103384]
648,[82459]
649,[800]
653,[26750]
676,"[163, 266, 458]"
679,[61986]
684,[163]
686,"[4321, 3624]"
702,[266]
707,"[1408, 163, 1266, 553]"
732,[1266]
734,[800]
751,[1266]
752,[1266]
756,"[1266, 1408]"
757,[303]
773,[266]
787,"[54997, 61986, 26750]"
795,"[3624, 163]"
803,"[714, 1408, 368]"
805,"[2701, 163, 2142]"
806,[1266]
810,[1408]
821,[368]
828,"[1266, 266, 432, 2701, 163]"
841,[266]
846,[1266]
847,"[714, 800, 82459, 85790]"
858,[2142]
859,"[553, 1266, 163, 1408]"
863,[1266]
864,[163]
865,"[38701, 714]"
871,"[54997, 82459]"
873,[39381]
886,[1266]
892,[553]
894,"[553, 163]"
901,"[1266, 1408, 66785]"
902,"[1408, 1266]"
906,[84944]
910,[39435]
915,[432]
919,"[82459, 54997]"
920,[553]
924,[266]
927,[1408]
930,[266]
932,[163]
939,"[1266, 368]"
942,[4031]
947,"[1266, 78679, 84944]"
982,[368]
983,[3267]
996,[1408]
997,[6950]
999,[553]
1000,[1408]
1016,[1408]
1017,[1408]
1036,[1408]
1038,"[1408, 163, 368]"
1040,[82459]
1043,"[303, 1266]"
1050,"[416, 432]"
1052,[1266]
1067,"[1266, 800]"
1075,[163]
1082,[266]
1083,[266]
1091,[266]
1094,[303]
1097,[3267]
1101,[54997]
1103,"[800, 714, 303]"
1111,[3624]
1113,[432]
1114,[1408]
1117,[432]
1121,[553]
1123,[3267]
1127,"[1408, 1266]"
1129,[163]
1137,[1266]
1140,"[553, 368]"
1145,[163]
1150,[553]
1156,"[266, 368]"
1166,[163]
1168,[163]
1171,[1408]
1173,[1266]
1178,[800]
1180,[553]
1188,[163]
1189,[1266]
1196,[82459]
1203,"[163, 416, 368, 82459, 303]"
1208,[4321]
1222,"[1408, 1266, 553]"
1224,[84944]
1228,[163]
1234,[1408]
1239,[3267]
1242,[4321]
1243,[2701]
1247,"[553, 368, 303]"
1260,"[416, 553]"
1273,"[1266, 163, 4321]"
1279,[432]
1281,[120110]
1284,[553]
1290,[553]
1295,[266]
1297,[163]
1298,"[1266, 1408]"
1305,"[4321, 303]"
1307,[82459]
1311,"[303, 1408]"
1314,[1266]
1319,[3267]
1321,[84944]
1322,[1408]
1329,"[1408, 553]"
1330,[163]
1334,[4321]
1337,[54997]
1342,"[82459, 714]"
1349,[1408]
1351,"[432, 553]"
1362,[800]
1370,[432]
1371,[2701]
1372,"[1408, 82459]"
1392,[266]
1397,[368]
1399,[800]
1401,[1266]
1402,[1379]
1403,[800]
1404,[266]
1409,[54997]
1428,[4321]
1436,[800]
1437,[2701]
1444,[1266]
1463,[368]
1468,[163]
1474,"[266, 1266]"
1475,[82459]
1477,"[26925, 6617]"
1478,"[1266, 368]"
1479,[163]
1482,"[800, 1266]"
1487,[1408]
1494,[800]
1499,[1266]
1501,[82459]
1508,[266]
1513,[553]
1520,[84944]
1537,[800]
1540,[163]
1541,[84944]
1553,[1408]
1554,[111743]
1556,"[800, 1266]"
1564,[800]
1572,"[266, 368, 163]"
1575,[266]
1585,"[82459, 84944]"
1588,[82459]
1589,[84944]
1591,[2701]
1599,"[163, 553]"
1605,[3624]
1609,[84944]
1610,"[2701, 368, 4321, 432]"
1612,"[1266, 54997]"
1613,[553]
1639,[303]
1641,"[1266, 4721]"
1644,[1408]
1652,"[84944, 714, 6617]"
1657,"[553, 368]"
1659,[553]
1666,[3624]
1676,[553]
1685,[54997]
1693,"[82459, 83613]"
1695,"[82459, 1266]"
1696,[84944]
1697,[1408]
1709,[82459]
1712,[3624]
1714,[266]
1721,[82459]
1722,[368]
1745,"[1266, 163]"
1746,"[54997, 103384]"
1747,[1408]
1748,"[39435, 266, 3267, 82459, 210]"
1755,[3624]
1762,[266]
1770,[2701]
1788,[82459]
1790,[1408]
1792,[1408]
1819,[5389]
1823,[266]
1829,"[368, 2142, 432]"
1831,[3267]
1833,[7379]
1835,"[54997, 82459, 84944]"
1840,[368]
1847,[82459]
1851,[1408]
1852,[800]
1854,[800]
1857,[54997]
1859,[82459]
1866,[82459]
1869,[4321]
1871,[1266]
1873,[368]
1881,"[163, 82459]"
1894,"[1266, 553, 714]"
1895,[163]
1903,[266]
1908,[3267]
1916,[163]
